Date,Open,High,Low,Price
3-Jan-17,176.62,179.97,179.97,179.97
4-Jan-17,179.98,179.44,179.44,179.44
5-Jan-17,179.44,179.36,179.36,179.36
6-Jan-17,177.51,174.57,174.57,174.57
9-Jan-17,174.57,172.59,172.59,172.59
10-Jan-17,172.59,172.68,172.68,172.68
11-Jan-17,172.67,171.84,171.84,171.84
12-Jan-17,171.83,172.92,172.92,172.92
13-Jan-17,172.93,172.67,172.67,172.67
17-Jan-17,172.67,173.33,173.33,173.33
18-Jan-17,173.34,171.99,171.99,171.99
19-Jan-17,172.43,172.55,172.55,172.55
20-Jan-17,172.55,174.03,174.03,174.03
23-Jan-17,174.02,174.86,174.86,174.86
24-Jan-17,174.84,170.19,170.19,170.19
25-Jan-17,170.19,169.79,169.79,169.79
26-Jan-17,169.79,169.83,169.83,169.83
27-Jan-17,169.83,171,171,171
30-Jan-17,169.83,171,171,171
31-Jan-17,170.97,170.2,170.2,170.2
1-Feb-17,170.21,170.43,170.43,170.43
2-Feb-17,170.42,169.22,169.22,169.22
3-Feb-17,169.22,167.1,167.1,167.1
6-Feb-17,167.11,167.75,167.75,167.75
7-Feb-17,167.76,166.4,166.4,166.4
8-Feb-17,166.4,166.47,166.47,166.47
9-Feb-17,166.47,166.98,166.98,166.98
10-Feb-17,166.99,167.81,167.81,167.81
13-Feb-17,167.8,168.24,168.24,168.24
14-Feb-17,168.24,166.12,166.12,166.12
15-Feb-17,166.13,165.94,165.94,165.94
16-Feb-17,165.94,166.38,166.38,166.38
17-Feb-17,166.38,167.14,167.14,167.14
21-Feb-17,167.14,168.65,168.65,168.65
22-Feb-17,168.67,169.66,169.66,169.66
23-Feb-17,169.65,169.76,169.76,169.76
24-Feb-17,169.77,171.39,171.39,171.39
27-Feb-17,171.39,172.62,172.62,172.62
28-Feb-17,172.61,170.52,170.52,170.52
1-Mar-17,170.44,169.77,169.77,169.77
2-Mar-17,169.7,170.55,170.55,170.55
3-Mar-17,170.55,170.64,170.64,170.64
6-Mar-17,170.65,170.67,170.67,170.67
7-Mar-17,170.68,170.31,170.31,170.31
8-Mar-17,170.28,169.06,169.06,169.06
9-Mar-17,169.06,168.36,168.36,168.36
10-Mar-17,168.36,169.04,169.04,169.04
13-Mar-17,169.05,170.17,170.17,170.17
14-Mar-17,170.12,170.43,170.43,170.43
15-Mar-17,170.43,169.6,169.6,169.6
16-Mar-17,169.61,171.91,171.91,171.91
17-Mar-17,171.92,171.36,171.36,171.36
20-Mar-17,171.37,172.3,172.3,172.3
21-Mar-17,172.3,171.67,171.67,171.67
22-Mar-17,171.69,170.74,170.74,170.74
23-Mar-17,170.73,169,169,169
24-Mar-17,169,168.86,168.86,168.86
27-Mar-17,168.89,169.01,169.01,169.01
28-Mar-17,168.98,167.78,167.78,167.78
29-Mar-17,167.76,168.13,168.13,168.13
30-Mar-17,168.14,167.84,167.84,167.84
31-Mar-17,167.84,168.52,168.52,168.52
3-Apr-17,168.58,167.68,167.68,167.68
4-Apr-17,167.68,168.35,168.35,168.35
5-Apr-17,168.22,168.9,168.9,168.9
6-Apr-17,168.91,168.19,168.19,168.19
7-Apr-17,166.33,165.51,165.51,165.51
10-Apr-17,165.52,165.83,165.83,165.83
11-Apr-17,165.85,165.32,165.32,165.32
12-Apr-17,165.3,165.41,165.41,165.41
13-Apr-17,165.39,166.35,166.35,166.35
17-Apr-17,166.34,165.32,165.32,165.32
18-Apr-17,165.35,165.7,165.7,165.7
19-Apr-17,165.68,166.09,166.09,166.09
20-Apr-17,166.11,165.77,165.77,165.77
21-Apr-17,165.78,165.34,165.34,165.34
24-Apr-17,165.33,162.73,162.73,162.73
25-Apr-17,162.78,162.67,162.67,162.67
26-Apr-17,162.67,162.18,162.18,162.18
27-Apr-17,162.18,164.17,164.17,164.17
28-Apr-17,164.18,162.04,162.04,162.04
1-May-17,162.03,160.33,160.33,160.33
2-May-17,160.35,159.07,159.07,159.07
3-May-17,159.08,158.99,158.99,158.99
4-May-17,158.98,157.97,157.97,157.97
5-May-17,157.87,156.18,156.18,156.18
8-May-17,156.19,158.45,158.45,158.45
9-May-17,158.46,158.8,158.8,158.8
10-May-17,158.82,157.84,157.84,157.84
11-May-17,157.81,158.3,158.3,158.3
12-May-17,158.29,157.54,157.54,157.54
15-May-17,157.58,157.44,157.44,157.44
16-May-17,157.4,157.06,157.06,157.06
17-May-17,157.08,156.11,156.11,156.11
18-May-17,156.07,153.3,153.3,153.3
19-May-17,153.29,155.15,155.15,155.15
22-May-17,155.17,156.41,156.41,156.41
23-May-17,156.39,156.54,156.54,156.54
24-May-17,156.55,156.75,156.75,156.75
25-May-17,156.7,155.7,155.7,155.7
26-May-17,155.7,156.25,156.25,156.25
30-May-17,156.26,155.99,155.99,155.99
31-May-17,156.02,158.2,158.2,158.2
1-Jun-17,158.5,158.76,158.76,158.76
2-Jun-17,158.71,159.71,159.71,159.71
5-Jun-17,159.84,159.62,159.62,159.62
6-Jun-17,159.6,159.39,159.39,159.39
7-Jun-17,159.36,159.32,159.32,159.32
8-Jun-17,159.41,159.46,159.46,159.46
9-Jun-17,159.47,158.54,158.54,158.54
12-Jun-17,158.55,159.93,159.93,159.93
13-Jun-17,160.03,161.37,161.37,161.37
14-Jun-17,161.37,159.71,159.71,159.71
15-Jun-17,159.71,160.16,160.16,160.16
16-Jun-17,160.14,160.23,160.23,160.23
19-Jun-17,160.64,160.06,160.06,160.06
20-Jun-17,160.05,159.74,159.74,159.74
21-Jun-17,159.72,158.09,158.09,158.09
22-Jun-17,158.05,156.17,156.17,156.17
23-Jun-17,156.17,156.04,156.04,156.04
26-Jun-17,156.03,155.71,155.71,155.71
27-Jun-17,155.7,156.68,156.68,156.68
28-Jun-17,156.67,154.44,154.44,154.44
29-Jun-17,154.45,155.07,155.07,155.07
30-Jun-17,155.08,153.54,153.54,153.54
3-Jul-17,153.57,154.03,154.03,154.03
5-Jul-17,154.06,155.36,155.36,155.36
6-Jul-17,155.37,154.81,154.81,154.81
7-Jul-17,152.86,151.26,151.26,151.26
10-Jul-17,151.28,150.68,150.68,150.68
11-Jul-17,150.66,149.92,149.92,149.92
12-Jul-17,149.96,148.92,148.92,148.92
13-Jul-17,149.13,149.63,149.63,149.63
14-Jul-17,149.63,148.78,148.78,148.78
17-Jul-17,148.78,149.14,149.14,149.14
18-Jul-17,149.13,149.44,149.44,149.44
19-Jul-17,149.42,147.98,147.98,147.98
20-Jul-17,148,148.52,148.52,148.52
21-Jul-17,148.61,150.62,150.62,150.62
24-Jul-17,150.63,150.66,150.66,150.66
25-Jul-17,150.64,149.13,149.13,149.13
26-Jul-17,149.14,149.56,149.56,149.56
27-Jul-17,149.59,153.99,153.99,153.99
28-Jul-17,154,162,162,162
31-Jul-17,161.99,161.19,161.19,161.19
1-Aug-17,161.12,161.84,161.84,161.84
2-Aug-17,162.35,162.32,162.32,162.32
3-Aug-17,162.32,160.17,160.17,160.17
4-Aug-17,160.14,160.31,160.31,160.31
7-Aug-17,160.31,161.07,161.07,161.07
8-Aug-17,161.07,161.15,161.15,161.15
9-Aug-17,161.14,160.28,160.28,160.28
10-Aug-17,160.27,159.72,159.72,159.72
11-Aug-17,159.63,159.03,159.03,159.03
14-Aug-17,159.02,158.89,158.89,158.89
15-Aug-17,159.27,160.86,160.86,160.86
16-Aug-17,160.85,159.24,159.24,159.24
17-Aug-17,159.26,159.41,159.41,159.41
18-Aug-17,159.41,156.82,156.82,156.82
21-Aug-17,156.82,155.98,155.98,155.98
22-Aug-17,155.97,157.08,157.08,157.08
23-Aug-17,157.1,158.47,158.47,158.47
24-Aug-17,158.44,158.4,158.4,158.4
25-Aug-17,158.4,157.82,157.82,157.82
28-Aug-17,158.19,159.06,159.06,159.06
29-Aug-17,159.07,159.03,159.03,159.03
30-Aug-17,159,158.67,158.67,158.67
31-Aug-17,158.67,157.66,157.66,157.66
1-Sep-17,157.77,156.85,156.85,156.85
5-Sep-17,156.88,156.92,156.92,156.92
6-Sep-17,156.71,155.13,155.13,155.13
7-Sep-17,155.15,153.22,153.22,153.22
8-Sep-17,153.29,150.04,150.04,150.04
11-Sep-17,150.11,149.85,149.85,149.85
12-Sep-17,149.88,150.37,150.37,150.37
13-Sep-17,150.71,152.43,152.43,152.43
14-Sep-17,152.43,153.57,153.57,153.57
15-Sep-17,153.56,152.96,152.96,152.96
18-Sep-17,153.2,155.68,155.68,155.68
19-Sep-17,155.68,156.47,156.47,156.47
20-Sep-17,156.47,159.99,159.99,159.99
21-Sep-17,159.9,160.7,160.7,160.7
22-Sep-17,160.7,159.43,159.43,159.43
25-Sep-17,159.83,161.59,161.59,161.59
26-Sep-17,161.57,162.98,162.98,162.98
27-Sep-17,162.97,161.59,161.59,161.59
28-Sep-17,161.23,161.68,161.68,161.68
29-Sep-17,161.17,162.08,162.08,162.08
2-Oct-17,162.07,162.37,162.37,162.37
3-Oct-17,162.36,162.2,162.2,162.2
4-Oct-17,162.26,163.98,163.98,163.98
5-Oct-17,163.95,164.07,164.07,164.07
6-Oct-17,164.14,163.88,163.88,163.88
9-Oct-17,161.58,160.56,160.56,160.56
10-Oct-17,160.58,160.31,160.31,160.31
11-Oct-17,160.3,160.94,160.94,160.94
12-Oct-17,160.94,159.86,159.86,159.86
13-Oct-17,159.84,154.2,154.2,154.2
16-Oct-17,154.19,153.11,153.11,153.11
17-Oct-17,153.24,154.3,154.3,154.3
18-Oct-17,154.28,154.62,154.62,154.62
19-Oct-17,154.6,153.72,153.72,153.72
