Date,Price,Open,High,Low,Vol.,Change %
3-Jan-17,651.81,653.13,655.55,648,-,0.62%
4-Jan-17,660.48,654.24,661.25,654.1,-,1.33%
5-Jan-17,660.05,657.4,660.39,656.7,-,-0.07%
6-Jan-17,662.91,660.51,665.39,657.59,-,0.43%
9-Jan-17,662.47,662.93,664.58,661.71,-,-0.07%
10-Jan-17,665.11,662.66,667.76,661.82,-,0.40%
11-Jan-17,666.58,664.86,666.59,662.62,-,0.22%
12-Jan-17,666.37,665.51,666.8,660.74,-,-0.03%
13-Jan-17,668.41,666.72,669.13,666.61,-,0.31%
17-Jan-17,669.89,666.99,671.78,666.64,-,0.22%
18-Jan-17,668.6,669.18,669.18,666.07,-,-0.19%
19-Jan-17,666.35,669.87,671.6,664.73,-,-0.34%
20-Jan-17,667.96,668.14,669.82,666.11,-,0.24%
23-Jan-17,668.4,666.27,668.7,664.48,-,0.07%
24-Jan-17,673.85,670.04,674.66,669.51,-,0.82%
25-Jan-17,677.79,676.63,678.78,676.3,-,0.58%
26-Jan-17,679.36,678.67,681.61,678.67,-,0.23%
27-Jan-17,677.34,679.1,679.27,674.69,-,-0.30%
30-Jan-17,676.79,675.77,676.81,670.18,-,-0.08%
31-Jan-17,674.91,673.18,674.93,670.42,-,-0.28%
1-Feb-17,673.74,675.54,677.67,671.57,-,-0.17%
2-Feb-17,673.23,674.05,676.28,672.3,-,-0.08%
3-Feb-17,672.5,670.87,673.59,670.03,-,-0.11%
6-Feb-17,670.47,671.37,672.14,669.38,-,-0.30%
7-Feb-17,669.55,670.85,671.61,669.1,-,-0.14%
8-Feb-17,673.67,669.84,674.58,669.84,-,0.62%
9-Feb-17,678.28,674.59,679.69,674.28,-,0.68%
10-Feb-17,681.97,679.18,682.39,678.91,-,0.54%
13-Feb-17,682.67,683.95,684.5,682.08,-,0.10%
14-Feb-17,686.68,682.84,686.68,682.63,-,0.59%
15-Feb-17,690.14,684.95,690.47,684.69,-,0.50%
16-Feb-17,687.08,689.65,690.39,685.6,-,-0.44%
17-Feb-17,689.08,685.74,689.08,685.32,-,0.29%
21-Feb-17,693.21,691.38,694.5,690.58,-,0.60%
22-Feb-17,693.37,692.87,693.76,691.59,-,0.02%
23-Feb-17,688.5,694.4,694.58,687.76,-,-0.70%
24-Feb-17,691.43,686.75,691.43,685.5,-,0.43%
27-Feb-17,691.68,690.22,692.28,689.03,-,0.04%
