Date,Price,Open,High,Low,Vol.,Change %
3-Jan-17,533.32,533.33,533.71,530.62,-,0.29%
4-Jan-17,533.68,534.23,536.04,533.38,-,0.07%
5-Jan-17,535.04,532.68,536.08,531.73,-,0.25%
6-Jan-17,535.28,534.41,536.11,532.4,-,0.04%
9-Jan-17,531.6,532.91,533.3,530.89,-,-0.69%
10-Jan-17,528.41,531.44,531.44,527.82,-,-0.60%
11-Jan-17,529.69,527.88,530.4,527.86,-,0.24%
12-Jan-17,529.36,529.31,530.23,528.49,-,-0.06%
13-Jan-17,529.18,529.76,530.39,527.88,-,-0.03%
17-Jan-17,536.31,530.02,536.64,530.02,-,1.35%
18-Jan-17,537.75,536.79,537.98,535.74,-,0.27%
19-Jan-17,535.76,536.93,537.17,534.77,-,-0.37%
20-Jan-17,539.42,538.83,541.09,536.61,-,0.68%
23-Jan-17,538.78,538.55,539.41,537.53,-,-0.12%
24-Jan-17,542.87,539.69,543.39,539.59,-,0.76%
25-Jan-17,542.96,543.8,544.88,542.8,-,0.02%
26-Jan-17,540.72,542.75,543.22,540.56,-,-0.41%
27-Jan-17,537.31,540.47,540.52,536.16,-,-0.63%
30-Jan-17,537.64,536.26,537.91,535.84,-,0.06%
31-Jan-17,539.51,537.44,539.55,537.05,-,0.35%
1-Feb-17,536.44,537.84,538.68,535.44,-,-0.57%
2-Feb-17,540.69,539.96,542.46,539.07,-,0.79%
3-Feb-17,543.55,542.64,545.56,541.71,-,0.53%
6-Feb-17,541.25,543.47,543.47,541.19,-,-0.42%
7-Feb-17,545.71,542.55,546.43,542.23,-,0.82%
8-Feb-17,547.9,545.23,548.6,545.23,-,0.40%
9-Feb-17,550,547.02,550.52,545.88,-,0.38%
10-Feb-17,549.65,549.31,550.77,548.12,-,-0.06%
13-Feb-17,549.92,550.94,550.94,548.51,-,0.05%
14-Feb-17,550.41,549.08,551.03,546.75,-,0.09%
15-Feb-17,554.94,550.35,555.42,550.23,-,0.82%
16-Feb-17,555.33,554.63,555.85,551.89,-,0.07%
17-Feb-17,559.01,554.6,559.18,554.27,-,0.66%
21-Feb-17,564.63,559.94,565.26,559.94,-,1.01%
22-Feb-17,563.91,564.4,564.63,562.58,-,-0.13%
23-Feb-17,565.3,564.9,567.6,564.15,-,0.25%
24-Feb-17,567.63,564.94,567.63,564.46,-,0.41%
27-Feb-17,564.51,565.77,565.77,563.59,-,-0.55%
28-Feb-17,565.79,563.49,566.76,563.31,-,0.23%
1-Mar-17,567.94,566.55,569.13,564.81,-,0.38%
2-Mar-17,567.84,567.73,568.98,566.32,-,-0.02%
3-Mar-17,565.64,566.37,566.37,563.35,-,-0.39%
6-Mar-17,563.18,563.12,564.1,562.46,-,-0.43%
7-Mar-17,562.56,562.09,563.8,561.95,-,-0.11%
8-Mar-17,560.95,561.12,562.01,560.48,-,-0.29%
9-Mar-17,562.17,561.56,562.85,560.92,-,0.22%
10-Mar-17,564.66,564.52,565.1,563.02,-,0.44%
13-Mar-17,563.9,563.3,564.79,562.47,-,-0.13%
14-Mar-17,562.96,563.32,564.71,562.21,-,-0.17%
15-Mar-17,567.19,563.61,568.38,563.41,-,0.75%
16-Mar-17,567.46,566.9,567.61,565.75,-,0.05%
17-Mar-17,566.53,568.42,569.99,566.28,-,-0.16%
20-Mar-17,567.19,566.85,567.91,566.3,-,0.12%
21-Mar-17,566.17,567.27,568.65,565.83,-,-0.18%
22-Mar-17,565.38,567.66,568.27,564.16,-,-0.14%
23-Mar-17,563.96,564.21,566.69,563.21,-,-0.25%
24-Mar-17,562.48,563.49,563.64,561.05,-,-0.26%
27-Mar-17,562.2,560.98,562.98,560.64,-,-0.05%
28-Mar-17,563.76,560.93,564.98,560.72,-,0.28%
29-Mar-17,564.48,563.06,565.09,562.54,-,0.13%
30-Mar-17,563.1,563.83,564.89,562.89,-,-0.24%
31-Mar-17,561.79,562.33,563.91,561.77,-,-0.23%
3-Apr-17,560.92,562.28,563.12,559.82,-,-0.15%
4-Apr-17,562.38,561.4,562.44,560.14,-,0.26%
5-Apr-17,561.48,562.6,564.92,560.68,-,-0.16%
6-Apr-17,561.03,562.25,563.14,560.49,-,-0.08%
7-Apr-17,562.47,561.68,563.93,561.38,-,0.26%
10-Apr-17,563.96,562.75,564.96,561.68,-,0.26%
11-Apr-17,564.26,563.78,564.72,562.39,-,0.05%
12-Apr-17,566.81,563.9,567.06,563.77,-,0.45%
13-Apr-17,563.79,566.26,566.6,563.79,-,-0.53%
17-Apr-17,567.83,564.46,567.84,564.46,-,0.72%
