Date,Price,Open,High,Low,Vol.,Change %
3-Jan-17,560.9,554.5,564.8,554.5,-,1.15%
4-Jan-17,559.3,560.9,561.94,557.67,-,-0.29%
5-Jan-17,557.48,559.3,561.77,554.92,-,-0.33%
6-Jan-17,557.57,557.48,559.05,553.89,-,0.02%
9-Jan-17,549.33,557.57,557.57,548.77,-,-1.48%
10-Jan-17,544.11,549.33,550.38,544.01,-,-0.95%
11-Jan-17,550.65,544.11,551.34,544.01,-,1.20%
12-Jan-17,548,550.65,552.96,546.02,-,-0.48%
13-Jan-17,546.96,548,548.77,545.58,-,-0.19%
17-Jan-17,550.39,546.96,551.62,546.96,-,0.63%
18-Jan-17,548.53,550.39,550.39,546.67,-,-0.34%
19-Jan-17,544.55,548.53,548.53,543.62,-,-0.73%
20-Jan-17,547.41,544.55,550.11,544.55,-,0.53%
23-Jan-17,541.29,547.41,547.41,539.08,-,-1.12%
24-Jan-17,546.61,541.29,549.14,541.29,-,0.98%
25-Jan-17,549.68,546.61,551.53,546.61,-,0.56%
26-Jan-17,549.61,549.68,551.97,548.76,-,-0.01%
27-Jan-17,544.42,549.61,549.61,542.73,-,-0.94%
30-Jan-17,534.86,544.42,544.42,531.39,-,-1.76%
31-Jan-17,534.34,534.86,536.09,529.13,-,-0.10%
1-Feb-17,530.33,534.34,538.21,527.33,-,-0.75%
2-Feb-17,533.45,530.33,534.28,527.13,-,0.59%
3-Feb-17,538.04,533.45,540.25,532.28,-,0.86%
6-Feb-17,533.27,538.04,538.96,531.71,-,-0.89%
7-Feb-17,525.95,533.27,533.28,523.44,-,-1.37%
8-Feb-17,525.58,525.95,526.42,517.16,-,-0.07%
9-Feb-17,530.46,525.58,531.82,525.58,-,0.93%
10-Feb-17,534.42,530.46,536.96,530.46,-,0.75%
13-Feb-17,534.57,534.42,534.95,531.81,-,0.03%
14-Feb-17,535.25,534.57,535.45,528.88,-,0.13%
15-Feb-17,533.36,535.25,535.93,531.64,-,-0.35%
16-Feb-17,526.07,533.36,534.45,525.55,-,-1.37%
17-Feb-17,523.3,526.07,526.07,521.54,-,-0.53%
21-Feb-17,526.88,523.34,529.3,523.34,-,0.68%
22-Feb-17,518.55,526.86,526.86,518.33,-,-1.58%
23-Feb-17,521.17,518.55,524.95,518.27,-,0.51%
24-Feb-17,516.53,520.99,520.99,513.99,-,-0.89%
27-Feb-17,521.01,516.53,522.68,516.19,-,0.87%
28-Feb-17,519.74,521.01,521.95,518.13,-,-0.24%
1-Mar-17,530.4,519.74,532.27,519.74,-,2.05%
2-Mar-17,525.9,530.4,530.72,525.72,-,-0.85%
3-Mar-17,523.98,525.9,527.92,523.06,-,-0.37%
6-Mar-17,525.53,523.98,526,521.6,-,0.30%
7-Mar-17,520.78,525.53,526.91,520.19,-,-0.90%
8-Mar-17,507.54,520.78,520.94,507.17,-,-2.54%
9-Mar-17,510.54,507.54,511.01,502.46,-,0.59%
10-Mar-17,510.15,510.54,514.69,507.31,-,-0.08%
13-Mar-17,510.37,510.15,512.63,508.34,-,0.04%
14-Mar-17,504.73,510.37,510.37,500.57,-,-1.11%
15-Mar-17,515.23,504.73,516.32,504.73,-,2.08%
16-Mar-17,512.24,515.23,515.77,510.62,-,-0.58%
17-Mar-17,511.82,512.24,514.87,511.59,-,-0.08%
20-Mar-17,511.18,511.82,511.84,506.99,-,-0.13%
21-Mar-17,507.58,511.18,513.2,505.98,-,-0.70%
22-Mar-17,507.05,507.58,509.09,504.31,-,-0.10%
23-Mar-17,505.24,507.05,509.07,504.65,-,-0.36%
24-Mar-17,502.92,505.24,506.8,502.03,-,-0.46%
27-Mar-17,500.87,502.92,502.92,498.3,-,-0.41%
28-Mar-17,507.32,500.87,508.55,500.2,-,1.29%
29-Mar-17,513.51,507.32,514.09,505.82,-,1.22%
30-Mar-17,515.92,513.51,518.94,512.91,-,0.47%
31-Mar-17,514.01,515.92,516.99,511.53,-,-0.37%
3-Apr-17,513.13,514.01,514.94,507.92,-,-0.17%
4-Apr-17,516.78,513.13,516.91,509.12,-,0.71%
5-Apr-17,515.04,516.78,525.26,514.56,-,-0.34%
6-Apr-17,519.14,515.04,520.48,515.04,-,0.80%
7-Apr-17,517.13,519.14,520.76,516.4,-,-0.39%
10-Apr-17,521.12,517.13,523.34,517.13,-,0.77%
