Date,Price,Open,High,Low,Vol.,Change %
3-Jan-17,390.31,386.53,393.27,386.53,-,0.98%
4-Jan-17,393.66,390.31,394.07,390.31,-,0.86%
5-Jan-17,389.66,393.66,393.66,386.11,-,-1.02%
6-Jan-17,391.15,389.66,392.55,389.09,-,0.38%
9-Jan-17,388.1,391.15,391.15,387.63,-,-0.78%
10-Jan-17,389.6,388.11,392.32,387.16,-,0.39%
11-Jan-17,391.39,389.6,391.39,387.11,-,0.46%
12-Jan-17,388.5,391.39,391.39,385.1,-,-0.74%
13-Jan-17,390.63,388.5,395,388.5,-,0.55%
17-Jan-17,381.72,390.63,390.63,381.02,-,-2.28%
18-Jan-17,384.73,381.72,384.86,379.72,-,0.79%
19-Jan-17,382.42,384.73,385.89,381.39,-,-0.60%
20-Jan-17,384.22,382.42,385.64,382.42,-,0.47%
23-Jan-17,381.98,384.22,384.89,380.63,-,-0.58%
24-Jan-17,386.62,381.98,388.19,381.98,-,1.21%
25-Jan-17,392.98,386.62,393.37,386.62,-,1.65%
26-Jan-17,394.14,392.98,395.17,392.27,-,0.30%
27-Jan-17,392.44,394.14,394.14,391.61,-,-0.43%
30-Jan-17,389.67,392.44,392.44,386.07,-,-0.71%
31-Jan-17,387.01,389.67,390.5,384.87,-,-0.68%
1-Feb-17,387.15,387.01,391.56,386.17,-,0.04%
2-Feb-17,385.47,387.15,387.32,383.32,-,-0.43%
3-Feb-17,393.13,385.47,393.6,385.47,-,1.99%
6-Feb-17,391.76,393.13,394.36,390.82,-,-0.35%
7-Feb-17,390.82,391.76,393.99,390.19,-,-0.24%
8-Feb-17,387.87,390.82,390.82,386.16,-,-0.75%
9-Feb-17,393.19,387.87,393.53,387.87,-,1.37%
10-Feb-17,394.13,393.19,395.48,392.9,-,0.24%
13-Feb-17,398.52,394.13,400.46,394.13,-,1.11%
14-Feb-17,403.46,398.52,403.75,397.85,-,1.24%
15-Feb-17,406.46,403.46,407.29,402.39,-,0.74%
16-Feb-17,405.89,406.46,406.58,403.21,-,-0.14%
17-Feb-17,405.77,405.89,405.89,402.08,-,-0.03%
21-Feb-17,407.65,405.77,408.51,405.77,-,0.46%
22-Feb-17,407.95,407.65,409.03,405.59,-,0.07%
23-Feb-17,408.33,407.95,408.97,405.8,-,0.09%
24-Feb-17,405.25,408.26,408.26,403.01,-,-0.75%
27-Feb-17,407.09,405.25,407.71,405.16,-,0.45%
28-Feb-17,406.38,407.09,407.09,404.17,-,-0.17%
1-Mar-17,417.94,406.39,419.11,406.39,-,2.84%
2-Mar-17,411.8,417.94,418.62,411.6,-,-1.47%
3-Mar-17,413.42,411.8,414.65,411.8,-,0.39%
6-Mar-17,410.83,413.42,413.42,408.88,-,-0.63%
7-Mar-17,409.65,410.83,411.16,408.47,-,-0.29%
8-Mar-17,409.6,409.65,414.95,409.38,-,-0.01%
9-Mar-17,410.86,409.6,413.02,409.32,-,0.31%
10-Mar-17,410.72,410.86,413.05,408.06,-,-0.03%
13-Mar-17,410.94,410.72,411.94,409.32,-,0.05%
14-Mar-17,410.46,410.94,410.94,407.57,-,-0.12%
15-Mar-17,409.91,410.46,412.62,408.09,-,-0.13%
16-Mar-17,411.2,409.91,413.44,409.91,-,0.31%
17-Mar-17,406.86,411.2,411.3,406.59,-,-1.06%
20-Mar-17,403.22,406.86,406.86,403.11,-,-0.89%
21-Mar-17,391.65,403.22,405.05,390.88,-,-2.87%
22-Mar-17,390.87,391.65,392.65,386.24,-,-0.20%
23-Mar-17,391.73,390.87,396.12,389.54,-,0.22%
24-Mar-17,391.36,391.73,394.33,388.67,-,-0.09%
27-Mar-17,389.47,391.36,391.36,382.01,-,-0.48%
28-Mar-17,394.79,389.47,396.48,388.65,-,1.37%
29-Mar-17,392.65,394.79,394.91,392.15,-,-0.54%
30-Mar-17,397.43,392.65,398.52,392.42,-,1.22%
31-Mar-17,394.58,397.43,397.43,394.49,-,-0.72%
3-Apr-17,393.43,394.58,395.76,388.86,-,-0.29%
4-Apr-17,392.63,393.43,393.47,390.82,-,-0.20%
5-Apr-17,389.87,392.63,397.55,389.64,-,-0.70%
6-Apr-17,392.05,389.87,393.67,387.39,-,0.56%
7-Apr-17,390.72,392.05,392.98,388.46,-,-0.34%
10-Apr-17,389.71,390.72,392.85,388.15,-,-0.26%
11-Apr-17,388.68,389.71,389.71,384.41,-,-0.26%
12-Apr-17,385.2,388.68,388.68,384.23,-,-0.90%
13-Apr-17,380.38,385.2,387.74,380.37,-,-1.25%
17-Apr-17,386.48,380.38,386.88,380.09,-,1.60%
18-Apr-17,383.27,386.48,386.48,380.89,-,-0.83%
19-Apr-17,382.27,383.27,386.96,381.4,-,-0.26%
20-Apr-17,388.2,382.27,389.11,382.27,-,1.55%
21-Apr-17,384.67,388.2,388.84,384.34,-,-0.91%
24-Apr-17,393.1,384.67,395.12,384.67,-,2.19%
25-Apr-17,396.36,393.1,398.55,393.1,-,0.83%
26-Apr-17,396.51,396.36,399.85,395.86,-,0.04%
27-Apr-17,394.47,396.51,396.8,392.11,-,-0.51%
28-Apr-17,390.76,394.47,394.63,390.61,-,-0.94%
1-May-17,392.76,390.76,394.82,390.76,-,0.51%
2-May-17,392.64,392.76,393.39,390.42,-,-0.03%
3-May-17,394.99,392.64,395.19,390.66,-,0.60%
4-May-17,395.87,394.99,398.97,394.44,-,0.22%
5-May-17,395.46,395.87,396.99,393.91,-,-0.10%
8-May-17,395.05,395.46,396.27,394.17,-,-0.10%
9-May-17,393.26,395.05,397.1,392.14,-,-0.45%
10-May-17,394.31,393.26,394.48,391.95,-,0.27%
11-May-17,392.22,394.02,394.02,389.08,-,-0.53%
12-May-17,390.45,392.22,392.22,388.39,-,-0.45%
15-May-17,393.47,390.45,394.11,390.45,-,0.77%
16-May-17,394.13,393.47,394.73,392.32,-,0.17%
17-May-17,382.14,394.13,394.13,380.73,-,-3.04%
18-May-17,383.33,382.14,385.82,381.26,-,0.31%
19-May-17,386.54,383.33,388.94,383.33,-,0.84%
22-May-17,387.69,386.54,388.71,385.38,-,0.30%
23-May-17,390.84,387.69,391.99,386.52,-,0.81%
24-May-17,390.68,390.84,391.43,389.02,-,-0.04%
25-May-17,391.63,390.68,393.14,390.37,-,0.24%
26-May-17,391.38,391.63,392.21,390.5,-,-0.06%
30-May-17,388.36,391.38,391.38,387.63,-,-0.77%
31-May-17,385.26,388.36,388.4,382.51,-,-0.80%
1-Jun-17,389.85,385.26,389.85,384.41,-,1.19%
2-Jun-17,388.41,389.85,390.08,386.2,-,-0.37%
5-Jun-17,388.72,388.41,391.28,388.41,-,0.08%
6-Jun-17,387.1,388.72,388.72,385.19,-,-0.42%
7-Jun-17,390.28,387.1,391.05,387.1,-,0.82%
8-Jun-17,394.72,390.28,397.37,390.1,-,1.14%
9-Jun-17,402.33,394.72,402.68,394.72,-,1.93%
12-Jun-17,402.99,402.33,405.57,400.57,-,0.16%
13-Jun-17,404.77,402.99,406.23,402.99,-,0.44%
14-Jun-17,405.52,404.77,406.09,399.44,-,0.19%
15-Jun-17,404.01,405.52,406.05,402.64,-,-0.37%
16-Jun-17,403.58,404.01,404.88,402.56,-,-0.11%
19-Jun-17,407.53,403.58,408.43,403.58,-,0.98%
20-Jun-17,404.23,407.53,407.53,404.17,-,-0.81%
21-Jun-17,401.07,404.23,404.57,400.68,-,-0.78%
22-Jun-17,398.51,401.07,401.07,398.02,-,-0.64%
23-Jun-17,396.69,398.51,400.16,395.61,-,-0.46%
26-Jun-17,398.81,396.69,400.7,396.43,-,0.53%
27-Jun-17,400.86,398.81,403.97,398.81,-,0.51%
28-Jun-17,407.19,400.86,407.8,400.86,-,1.58%
29-Jun-17,409.83,407.19,415.44,407.12,-,0.65%
30-Jun-17,409.59,409.83,412.65,408.94,-,-0.06%
3-Jul-17,415.07,409.59,418,409.59,-,1.34%
5-Jul-17,416.05,415.07,417,413.61,-,0.24%
6-Jul-17,413.29,416.05,417.75,413.16,-,-0.66%
7-Jul-17,415.6,413.29,416.45,413.02,-,0.56%
10-Jul-17,414.89,415.6,416.17,413.9,-,-0.17%
11-Jul-17,412.07,414.89,414.89,410.51,-,-0.68%
12-Jul-17,412.54,412.07,413.23,410.58,-,0.11%
13-Jul-17,415.04,412.54,415.28,412.54,-,0.61%
14-Jul-17,412.9,415.04,415.04,408.27,-,-0.52%
17-Jul-17,412.36,412.92,413.23,410.7,-,-0.13%
18-Jul-17,411.21,412.36,412.36,408.96,-,-0.28%
19-Jul-17,412.07,411.21,413.41,410.31,-,0.21%
20-Jul-17,411.84,412.07,413.83,410.79,-,-0.06%
21-Jul-17,411.73,411.84,412.84,410.58,-,-0.03%
24-Jul-17,412.99,411.73,413.75,411.37,-,0.31%
25-Jul-17,418.22,412.99,420.09,412.99,-,1.27%
26-Jul-17,415.68,418.22,419.58,414.84,-,-0.61%
27-Jul-17,413.49,415.68,415.92,411.55,-,-0.53%
28-Jul-17,413.61,413.49,414.3,410.99,-,0.03%
31-Jul-17,416.17,413.61,417.61,413.61,-,0.62%
1-Aug-17,419.54,416.17,419.57,416.17,-,0.81%
2-Aug-17,419.79,419.54,420.01,417.63,-,0.06%
3-Aug-17,417.86,419.79,419.79,417.34,-,-0.46%
4-Aug-17,420.88,417.86,422.26,417.86,-,0.72%
7-Aug-17,420.14,420.88,421.71,419.47,-,-0.18%
8-Aug-17,419.42,420.14,424.01,418.89,-,-0.17%
9-Aug-17,419.08,419.42,419.42,415.74,-,-0.08%
10-Aug-17,411.7,419.08,419.08,411.55,-,-1.76%
11-Aug-17,409.51,411.7,413.5,408.79,-,-0.53%
14-Aug-17,415.19,409.51,416.52,409.51,-,1.39%
15-Aug-17,416.08,415.19,419.24,415.19,-,0.21%
16-Aug-17,415.08,416.08,418.18,414.22,-,-0.24%
17-Aug-17,407.86,415.08,415.08,407.73,-,-1.74%
18-Aug-17,407.63,407.86,410.8,405.88,-,-0.06%
21-Aug-17,406.65,407.63,407.86,405.14,-,-0.24%
22-Aug-17,410.91,406.65,411.39,406.65,-,1.05%
23-Aug-17,409.99,410.91,412.17,408.19,-,-0.22%
24-Aug-17,409.65,409.99,411.37,409.19,-,-0.08%
25-Aug-17,410.64,409.65,412.72,409.65,-,0.24%
28-Aug-17,408.67,410.64,411.36,407.4,-,-0.48%
29-Aug-17,406.76,408.67,408.67,403.59,-,-0.47%
30-Aug-17,408.48,406.76,410.03,406.76,-,0.42%
31-Aug-17,408.45,408.48,410.01,407.55,-,-0.01%
1-Sep-17,410.24,408.45,412.27,408.45,-,0.44%
5-Sep-17,401.21,410.24,410.24,400.09,-,-2.20%
6-Sep-17,402.19,401.21,404.03,400.9,-,0.24%
7-Sep-17,395.54,402.19,402.25,393.75,-,-1.65%
8-Sep-17,398.58,395.54,400.25,394.62,-,0.77%
11-Sep-17,405.5,398.58,406.75,398.58,-,1.74%
12-Sep-17,410.41,405.5,410.92,405.5,-,1.21%
13-Sep-17,411.29,410.41,411.29,408.55,-,0.21%
14-Sep-17,409.86,411.29,412.1,409.52,-,-0.35%
15-Sep-17,411.81,409.86,411.83,409.35,-,0.48%
18-Sep-17,415.99,411.81,416.48,411.81,-,1.02%
19-Sep-17,419.31,415.99,420.45,415.82,-,0.80%
20-Sep-17,421.91,419.31,423.36,417.78,-,0.62%
21-Sep-17,422.74,421.91,423.79,420.79,-,0.20%
22-Sep-17,422.7,422.74,422.96,420.11,-,-0.01%
25-Sep-17,422.05,422.7,423.44,419.31,-,-0.15%
26-Sep-17,421.66,422.05,423.28,420.79,-,-0.09%
27-Sep-17,427.14,421.66,428.96,421.66,-,1.30%
28-Sep-17,427.66,427.14,428.33,425.35,-,0.12%
29-Sep-17,429.08,427.66,429.36,426.98,-,0.33%
2-Oct-17,432.89,429.08,432.92,428.68,-,0.89%
3-Oct-17,434.19,432.89,434.39,431.93,-,0.30%
4-Oct-17,432.79,434.19,434.72,432.5,-,-0.32%
5-Oct-17,437.06,432.79,438.26,431.67,-,0.99%
6-Oct-17,437.25,437.06,439.05,435.13,-,0.04%
9-Oct-17,435.62,437.25,437.95,434.68,-,-0.37%
10-Oct-17,437.42,435.62,437.49,435.2,-,0.41%
11-Oct-17,436.81,437.42,437.42,434.96,-,-0.14%
12-Oct-17,433.67,436.81,437.98,433.09,-,-0.72%
13-Oct-17,433.5,433.67,435.05,429.8,-,-0.04%
16-Oct-17,436.29,433.5,436.56,433.5,-,0.64%
17-Oct-17,433.88,436.29,437.66,433.28,-,-0.55%
18-Oct-17,436.32,433.88,437.23,433.88,-,0.56%
19-Oct-17,436.96,436.32,437.05,432.9,-,0.15%
20-Oct-17,442.05,436.96,442.31,436.96,-,1.16%
23-Oct-17,441.43,442.05,442.91,440.89,-,-0.14%
24-Oct-17,444.71,441.43,445.7,441.43,-,0.74%
25-Oct-17,442.52,444.71,446,439.81,-,-0.49%
26-Oct-17,444.97,442.52,446.62,442.52,-,0.55%
27-Oct-17,444.53,444.97,445.22,441.78,-,-0.10%
30-Oct-17,442.41,444.53,444.53,441.45,-,-0.48%
31-Oct-17,441.16,442.41,444.06,440.94,-,-0.28%
1-Nov-17,442.19,441.16,445.09,441.16,-,0.23%
2-Nov-17,445.99,442.19,446.46,440.16,-,0.86%
3-Nov-17,444.05,445.99,445.99,442.63,-,-0.43%
6-Nov-17,443.46,444.05,444.21,442,-,-0.13%
7-Nov-17,437.58,443.46,444.95,436.22,-,-1.33%
8-Nov-17,434.95,437.58,437.58,433.66,-,-0.60%
9-Nov-17,433.45,434.95,434.95,429.12,-,-0.34%
10-Nov-17,432.27,433.45,434.55,432.01,-,-0.27%
13-Nov-17,433.05,432.27,433.69,429.46,-,0.18%
14-Nov-17,432.79,433.05,433.05,429.79,-,-0.06%
15-Nov-17,433.61,432.79,435.22,428.54,-,0.19%
16-Nov-17,433.94,433.61,436.64,433.61,-,0.08%
17-Nov-17,433.36,433.94,434.37,431.37,-,-0.13%
20-Nov-17,435.49,433.36,436.09,433.08,-,0.49%
21-Nov-17,436.59,435.49,437.28,435.49,-,0.25%
22-Nov-17,434.86,436.59,437.84,434.84,-,-0.40%
24-Nov-17,434.19,434.86,435.88,434.05,-,-0.15%
27-Nov-17,434.02,434.19,436.3,433.71,-,-0.04%
28-Nov-17,445.21,434.02,445.77,434.02,-,2.58%
29-Nov-17,453.1,445.21,455.85,445.21,-,1.77%
30-Nov-17,455.61,453.1,461.69,453.1,-,0.55%
1-Dec-17,456.61,455.61,458.68,446.25,-,0.22%
4-Dec-17,463.71,456.61,466.79,456.61,-,1.55%
5-Dec-17,461.01,463.71,465.97,460.04,-,-0.58%
6-Dec-17,459.45,461.01,461.96,458.19,-,-0.34%
7-Dec-17,460.76,459.45,462.41,457.04,-,0.29%
8-Dec-17,463.46,460.76,463.46,459.92,-,0.59%
11-Dec-17,462.36,463.46,464.14,461.21,-,-0.24%
12-Dec-17,467.09,462.36,468.83,462.36,-,1.02%
13-Dec-17,461.17,467.09,467.52,461.06,-,-1.27%
14-Dec-17,458.07,461.17,463.27,457.87,-,-0.67%
15-Dec-17,462.84,458.07,465.36,458.07,-,1.04%
18-Dec-17,466.66,462.84,468.64,462.84,-,0.83%
19-Dec-17,464.78,466.66,468.81,464.6,-,-0.40%
20-Dec-17,463.64,464.78,468.64,463.48,-,-0.25%
21-Dec-17,467.57,463.64,468.91,463.64,-,0.85%
22-Dec-17,466.56,467.57,469.36,464.31,-,-0.22%
26-Dec-17,465,466.56,467.71,463.21,-,-0.33%
27-Dec-17,465.3,465,465.48,463.85,-,0.06%
28-Dec-17,467.19,465.3,467.25,465.2,-,0.41%
29-Dec-17,463.94,467.19,468.5,463.94,-,-0.70%
2-Jan-18,463.66,463.94,466.51,461.68,-,-0.06%
3-Jan-18,466.14,463.66,466.55,463.18,-,0.53%
4-Jan-18,470.51,466.14,473.75,466.14,-,0.94%
5-Jan-18,471.92,470.51,472.11,468.79,-,0.30%
8-Jan-18,471.33,471.92,471.93,469.62,-,-0.13%
9-Jan-18,474.69,471.33,477.1,471.33,-,0.71%
10-Jan-18,478.72,474.69,480.74,474.69,-,0.85%
11-Jan-18,480.97,478.72,480.97,478.46,-,0.47%
12-Jan-18,485.49,480.97,485.64,480.97,-,0.94%
