Date,Price,Open,High,Low,Vol.,Change %
3-Jan-17,808.04,801.06,808.04,800.49,-,1.40%
4-Jan-17,813.66,809.46,816.02,809.14,-,0.70%
5-Jan-17,817.59,814.59,818.22,812.67,-,0.48%
6-Jan-17,820.25,819,822.69,815.52,-,0.33%
9-Jan-17,823.9,820.09,825.27,819.06,-,0.44%
10-Jan-17,826.66,825.42,831.49,823.53,-,0.33%
11-Jan-17,818.04,827.58,830.3,810.85,-,-1.04%
12-Jan-17,818.62,815.95,819.15,812.28,-,0.07%
13-Jan-17,819.5,819.31,822.32,817.85,-,0.11%
17-Jan-17,815.82,816.07,816.89,809.03,-,-0.45%
18-Jan-17,814.8,817.73,818.7,812.83,-,-0.13%
19-Jan-17,809.7,813.65,813.99,807.9,-,-0.63%
20-Jan-17,807.33,810.09,812.95,806.5,-,-0.29%
23-Jan-17,803.72,806.05,808.22,800.99,-,-0.45%
24-Jan-17,798.49,803.14,803.19,794.52,-,-0.65%
25-Jan-17,805.39,800.38,805.86,798.35,-,0.86%
26-Jan-17,799.68,803.99,805.22,799.49,-,-0.71%
27-Jan-17,806.11,802.09,806.55,801.08,-,0.80%
30-Jan-17,802.77,804.65,805.55,798.84,-,-0.41%
31-Jan-17,814.06,800.82,814.25,800.03,-,1.41%
1-Feb-17,819.85,813.83,820.18,813,-,0.71%
2-Feb-17,820.89,818.57,821.73,815.07,-,0.13%
3-Feb-17,825.74,824,825.74,820.2,-,0.59%
6-Feb-17,825.35,823.52,825.54,821.92,-,-0.05%
7-Feb-17,826.09,826.97,829.67,823.96,-,0.09%
8-Feb-17,824.93,821.79,826.09,820.21,-,-0.14%
9-Feb-17,828.53,824.5,830.67,824.41,-,0.44%
10-Feb-17,829.52,828.86,831.69,827.61,-,0.12%
13-Feb-17,834.87,830.76,835.01,830.76,-,0.64%
14-Feb-17,840.97,834.05,840.98,833.07,-,0.73%
15-Feb-17,850.8,839.32,852,839.15,-,1.17%
16-Feb-17,849.58,850.54,851.21,843.63,-,-0.14%
17-Feb-17,850.54,847.5,850.82,846.29,-,0.11%
21-Feb-17,854.53,850.95,856.74,850.95,-,0.47%
22-Feb-17,853.32,853.83,855.97,852.51,-,-0.14%
23-Feb-17,859.65,854.89,860.66,853.03,-,0.74%
24-Feb-17,863.34,859.01,863.34,857.96,-,0.43%
27-Feb-17,866.68,862.86,867.33,861.97,-,0.39%
28-Feb-17,864.61,865.08,867.84,862.66,-,-0.24%
1-Mar-17,873.61,869.12,875.9,867.89,-,1.04%
2-Mar-17,871.6,873.19,875.39,871.04,-,-0.23%
