Date,Price,Open,High,Low,Vol.,Change %
3-Jan-17,541.64,540.94,545.03,539.22,-,0.66%
4-Jan-17,544.52,542.86,545.07,542.76,-,0.53%
5-Jan-17,542.53,543.94,546.72,539.84,-,-0.37%
6-Jan-17,545.48,543.06,547.2,541.11,-,0.54%
9-Jan-17,541.72,544.93,545.06,541.41,-,-0.69%
10-Jan-17,543.43,542.35,545.81,541.56,-,0.32%
11-Jan-17,546.47,543.75,546.8,543.42,-,0.56%
12-Jan-17,544.5,546.02,546.02,539.2,-,-0.36%
13-Jan-17,546.27,544.98,546.72,544.98,-,0.33%
17-Jan-17,541.99,544.44,544.48,540.65,-,-0.78%
18-Jan-17,544,541.18,544.85,540.15,-,0.37%
19-Jan-17,547.2,547.12,550.01,544.29,-,0.59%
20-Jan-17,547,546.99,547.66,544.18,-,-0.04%
23-Jan-17,543.19,546.79,547.29,540.6,-,-0.70%
24-Jan-17,548.71,543.7,549.82,542.84,-,1.02%
25-Jan-17,554.4,551.82,554.93,551.41,-,1.04%
26-Jan-17,555.84,554.48,557.92,553.18,-,0.26%
27-Jan-17,554.79,556.86,557.33,554.05,-,-0.19%
30-Jan-17,550.56,552.04,552.04,546.15,-,-0.76%
31-Jan-17,545.43,547.77,547.88,542.69,-,-0.93%
1-Feb-17,544.66,545.49,547.88,541.67,-,-0.14%
2-Feb-17,543.21,543.24,544.79,541.05,-,-0.27%
3-Feb-17,547.42,544.61,547.84,544.17,-,0.78%
6-Feb-17,547.69,547.12,549.23,546.17,-,0.05%
7-Feb-17,548.6,549.55,551.49,548.04,-,0.17%
8-Feb-17,547.96,548.07,548.27,546.09,-,-0.12%
9-Feb-17,552.01,548.09,552.96,548.09,-,0.74%
10-Feb-17,556.14,553.54,556.54,552.93,-,0.75%
13-Feb-17,561.64,558.09,562.58,558.09,-,0.99%
14-Feb-17,561.98,561.06,561.98,559.03,-,0.06%
15-Feb-17,564.63,561.39,565.29,560.94,-,0.47%
16-Feb-17,564.75,564.42,564.76,561.26,-,0.02%
17-Feb-17,565.73,563.93,565.73,561.9,-,0.17%
21-Feb-17,568.44,566.05,569.01,566.01,-,0.48%
22-Feb-17,566.79,567.11,567.11,565.1,-,-0.29%
23-Feb-17,562.42,566.94,567.37,560.86,-,-0.77%
24-Feb-17,565.07,560.72,565.07,558.79,-,0.47%
27-Feb-17,566.73,564.32,566.9,563.16,-,0.29%
28-Feb-17,563.99,567.03,567.47,563.08,-,-0.48%
1-Mar-17,573.26,568.17,575.29,568.17,-,1.64%
2-Mar-17,567.71,572.4,572.4,567.3,-,-0.97%
3-Mar-17,568.13,567.88,568.75,565.4,-,0.07%
6-Mar-17,566.32,565.89,566.97,564.59,-,-0.32%
7-Mar-17,564.51,565.7,566.83,563.99,-,-0.32%
8-Mar-17,562.53,564.53,565.43,561.79,-,-0.35%
9-Mar-17,559.94,562.21,563.59,557.87,-,-0.46%
10-Mar-17,563.67,561.89,563.84,559.22,-,0.67%
13-Mar-17,563.15,563.51,564.39,561.59,-,-0.09%
14-Mar-17,558,561.37,561.37,556.9,-,-0.91%
15-Mar-17,564.2,558.54,565.74,558.27,-,1.11%
16-Mar-17,562.15,564.62,565.25,561.13,-,-0.36%
17-Mar-17,564.64,562.98,566.04,562.24,-,0.44%
20-Mar-17,563.55,565.15,565.62,562.97,-,-0.19%
21-Mar-17,554.95,564.78,565.31,554.28,-,-1.53%
22-Mar-17,557.04,555.7,557.96,553,-,0.38%
23-Mar-17,556.22,556.99,559.77,555.23,-,-0.15%
24-Mar-17,554.62,556.33,558.32,552.61,-,-0.29%
27-Mar-17,552.66,550.61,553.84,546.88,-,-0.35%
28-Mar-17,558.64,551.91,560.38,551.25,-,1.08%
29-Mar-17,558.31,557.3,558.8,556.59,-,-0.06%
30-Mar-17,561.28,558.15,562.16,558.01,-,0.53%
31-Mar-17,559.63,560.35,561.93,559.57,-,-0.29%
3-Apr-17,558.4,559.86,561.32,554.96,-,-0.22%
4-Apr-17,559.47,557.98,559.65,557.09,-,0.19%
5-Apr-17,557.74,560.88,566.26,557.21,-,-0.31%
6-Apr-17,559.45,557.72,561.85,557.35,-,0.31%
7-Apr-17,560.03,559.88,562.22,558.93,-,0.10%
10-Apr-17,561.25,560.36,564.33,560.08,-,0.22%
11-Apr-17,562.1,560.52,562.21,557,-,0.15%
12-Apr-17,554.68,561.7,561.84,554.18,-,-1.32%
13-Apr-17,550.91,553.8,555.66,550.91,-,-0.68%
17-Apr-17,556.54,552.21,556.58,551.8,-,1.02%
18-Apr-17,555.03,555.17,556.86,552.73,-,-0.27%
19-Apr-17,555.71,556.86,558.73,554.63,-,0.12%
20-Apr-17,561.73,557.79,563.95,557.79,-,1.08%
21-Apr-17,562.08,562.42,564.3,560.5,-,0.06%
24-Apr-17,569.44,567.24,570.37,567.24,-,1.31%
25-Apr-17,572.51,570.86,573.58,570.5,-,0.54%
26-Apr-17,571.69,572.79,575.26,571.69,-,-0.14%
27-Apr-17,571.62,571.85,573.68,569.66,-,-0.01%
