Date,Price,Open,High,Low,Vol.,Change %
3-Jan-17,815.1,808,819,808,-,0.89%
4-Jan-17,818,815.1,819.6,815.1,-,0.35%
5-Jan-17,819.8,818,822.2,816.6,-,0.22%
6-Jan-17,827.6,819.8,829.5,818.3,-,0.96%
9-Jan-17,829.2,827.6,831.6,827.6,-,0.19%
10-Jan-17,828.6,829.2,832.2,826.7,-,-0.07%
11-Jan-17,834,828.6,834,827.4,-,0.66%
12-Jan-17,831.8,834,834,823.1,-,-0.27%
13-Jan-17,834,831.8,835.5,831.8,-,0.27%
17-Jan-17,831,834,834,828.5,-,-0.36%
18-Jan-17,833.8,831,834.5,830.4,-,0.33%
19-Jan-17,831.7,833.8,836.5,830.5,-,-0.25%
20-Jan-17,836,831.7,838.1,831.7,-,0.52%
23-Jan-17,836.5,836,837.8,831.4,-,0.06%
24-Jan-17,845.1,836.5,846.6,836.5,-,1.03%
25-Jan-17,854.2,845.1,854.4,845.1,-,1.07%
26-Jan-17,852.4,854.2,855.5,849.6,-,-0.21%
27-Jan-17,855.2,852.4,856.5,852.4,-,0.33%
30-Jan-17,848.2,855.2,855.2,843.3,-,-0.82%
31-Jan-17,843,847.6,847.6,838.8,-,-0.61%
1-Feb-17,849.3,843,851.8,843,-,0.75%
2-Feb-17,849.6,849.3,851.3,844.3,-,0.02%
3-Feb-17,855.3,849.6,856.2,849.6,-,0.68%
6-Feb-17,856.5,855.3,856.5,852.2,-,0.14%
7-Feb-17,860.1,856.5,861.9,856.5,-,0.41%
8-Feb-17,861.5,860.1,863,857.4,-,0.17%
9-Feb-17,864,861.5,865.8,861.1,-,0.29%
10-Feb-17,865.9,864,867.6,863.3,-,0.22%
13-Feb-17,871.5,865.9,872.7,865.9,-,0.65%
14-Feb-17,874,871.5,874,867.6,-,0.28%
15-Feb-17,877.4,874,877.9,873,-,0.40%
16-Feb-17,879.3,877.4,881.6,877,-,0.21%
17-Feb-17,881.5,879.3,881.5,876.7,-,0.25%
21-Feb-17,886.1,881.5,886.3,881.5,-,0.52%
22-Feb-17,887.5,886.1,887.6,883.1,-,0.16%
23-Feb-17,886.5,887.5,888.7,882.3,-,-0.11%
24-Feb-17,888.3,886.5,888.3,879.6,-,0.20%
27-Feb-17,887.7,888.3,888.3,884.8,-,-0.07%
28-Feb-17,884,887.4,887.4,882.3,-,-0.41%
1-Mar-17,897.1,884,898.2,884,-,1.48%
2-Mar-17,891.1,897.1,897.1,890,-,-0.67%
3-Mar-17,892.7,891.1,892.7,888.2,-,0.19%
6-Mar-17,891.3,892.7,892.8,887.5,-,-0.16%
7-Mar-17,892.6,891.3,895.5,890.4,-,0.15%
8-Mar-17,893.5,892.6,896.3,892.2,-,0.10%
9-Mar-17,893,893.5,894.2,888.4,-,-0.06%
10-Mar-17,897.6,893,899.5,893,-,0.52%
13-Mar-17,898.6,897.6,899.4,896.8,-,0.12%
14-Mar-17,896.3,898.6,898.6,892.7,-,-0.25%
15-Mar-17,901.7,896.3,903.4,894.6,-,0.60%
16-Mar-17,903.8,901.7,906,901.7,-,0.23%
17-Mar-17,904.4,903.8,907.5,903.8,-,0.06%
20-Mar-17,905.3,904.4,907.7,902.9,-,0.10%
21-Mar-17,892,905.3,910.3,891.4,-,-1.47%
22-Mar-17,899.1,892,899.9,891.7,-,0.80%
23-Mar-17,896.2,899.1,899.7,894.4,-,-0.32%
24-Mar-17,896.6,896.2,902.7,893.6,-,0.05%
27-Mar-17,897.5,896.6,899.2,887.8,-,0.10%
28-Mar-17,904,897.5,906.5,895.3,-,0.72%
29-Mar-17,905.8,904,906.5,901.9,-,0.21%
30-Mar-17,907.1,905.8,908.7,905,-,0.14%
31-Mar-17,906.2,907.1,909.2,904.7,-,-0.10%
3-Apr-17,904.9,906.2,908.5,899.4,-,-0.15%
4-Apr-17,904.8,904.9,905.1,900.8,-,-0.01%
5-Apr-17,902,904.8,912.5,900.6,-,-0.32%
6-Apr-17,901.5,902,904.5,899.6,-,-0.05%
7-Apr-17,900.9,901.5,903.6,897.8,-,-0.07%
10-Apr-17,899.6,900.9,904,897.8,-,-0.15%
11-Apr-17,895.6,899.6,899.6,888.2,-,-0.44%
12-Apr-17,892.1,895.6,895.8,890.4,-,-0.40%
13-Apr-17,888.7,892.1,897.2,888.7,-,-0.38%
17-Apr-17,897.3,888.7,897.4,888.7,-,0.97%
18-Apr-17,896.6,897.3,898.9,893.7,-,-0.08%
19-Apr-17,895.9,896.6,901.3,894.4,-,-0.08%
20-Apr-17,904.7,895.9,906.7,895.9,-,0.98%
21-Apr-17,904.6,904.7,906.8,902.9,-,-0.01%
24-Apr-17,916.4,904.6,917,904.6,-,1.30%
25-Apr-17,922.1,916.4,923.9,916.4,-,0.62%
26-Apr-17,919.7,922.1,923.9,919.1,-,-0.26%
27-Apr-17,925.3,919.7,925.6,919.7,-,0.60%
28-Apr-17,928.3,925.3,929.8,925.3,-,0.33%
1-May-17,936.2,928.3,937.8,928.3,-,0.85%
2-May-17,939,936.2,940.7,935.7,-,0.30%
3-May-17,937.8,939,939,933.2,-,-0.13%
4-May-17,938,937.8,939.6,935,-,0.03%
5-May-17,941,938,941,936.5,-,0.31%
8-May-17,944.9,941,945.3,939.8,-,0.42%
