Date,Price,Open,High,Low,Vol.,Change %
3-Jan-17,314.36,313.86,315.85,311.91,-,0.70%
4-Jan-17,318.72,315.26,319.09,315.23,-,1.39%
5-Jan-17,317.88,318.24,319.45,316.59,-,-0.26%
6-Jan-17,317.88,317.83,318.21,316.21,-,0.00%
9-Jan-17,317.91,317.83,320.9,317.43,-,0.01%
10-Jan-17,318.12,318.46,319.28,316.8,-,0.07%
11-Jan-17,320.79,318.36,320.8,317.71,-,0.84%
12-Jan-17,320.11,320.53,320.53,318.11,-,-0.21%
13-Jan-17,319.43,319.86,320.48,318.82,-,-0.21%
17-Jan-17,318.35,319.01,319.14,317.19,-,-0.34%
18-Jan-17,320.23,318.81,320.39,317.94,-,0.59%
19-Jan-17,318.24,320.1,321.19,316.96,-,-0.62%
20-Jan-17,321,319.37,321.45,319.07,-,0.87%
23-Jan-17,321.69,320.99,321.93,319.77,-,0.21%
24-Jan-17,329.84,324.09,330.68,323.72,-,2.53%
25-Jan-17,332.2,330.14,332.47,329.15,-,0.72%
26-Jan-17,332.99,331.71,334.66,331.19,-,0.24%
27-Jan-17,332.04,331.92,332.85,331.19,-,-0.29%
30-Jan-17,328.58,329.78,329.9,327.07,-,-1.04%
31-Jan-17,326.49,328.25,328.56,325.28,-,-0.64%
1-Feb-17,328.35,326.45,328.76,325.43,-,0.57%
2-Feb-17,326.62,328.06,328.06,325.57,-,-0.53%
3-Feb-17,327.2,327.06,327.7,326.17,-,0.18%
6-Feb-17,326.35,326.5,326.52,325.08,-,-0.26%
7-Feb-17,323.78,324.94,326.05,323.37,-,-0.79%
8-Feb-17,324.51,323.7,324.59,322.57,-,0.23%
9-Feb-17,324.39,324.44,325.35,323.73,-,-0.04%
10-Feb-17,327.36,326.02,327.77,325.73,-,0.92%
13-Feb-17,329.48,328.28,330.58,328.13,-,0.65%
14-Feb-17,329.78,328.66,329.78,327.51,-,0.09%
15-Feb-17,329.25,329.59,330.15,328.52,-,-0.16%
16-Feb-17,329.07,329.27,331.03,328.1,-,-0.05%
17-Feb-17,328.18,329.01,329.05,327.07,-,-0.27%
21-Feb-17,329.41,328.26,330.24,327.88,-,0.37%
22-Feb-17,330.32,328.18,331.99,327.8,-,0.28%
23-Feb-17,328.43,331.25,332.04,328.05,-,-0.57%
24-Feb-17,329.22,326.93,329.22,326.47,-,0.24%
27-Feb-17,328.05,328.73,330.73,327.61,-,-0.36%
28-Feb-17,328.13,327.43,329.27,327.18,-,0.02%
1-Mar-17,334.11,331.61,335.14,331.47,-,1.82%
2-Mar-17,330.59,333.45,333.55,330.46,-,-1.05%
3-Mar-17,330.17,330.67,331.37,329.17,-,-0.13%
6-Mar-17,327.99,328.96,329.71,327.47,-,-0.66%
7-Mar-17,326.13,327.73,327.78,325.96,-,-0.57%
8-Mar-17,326.36,326.02,329.44,325.62,-,0.07%
9-Mar-17,325.01,326.25,326.88,323.55,-,-0.41%
10-Mar-17,326.37,326.08,327.43,325.05,-,0.42%
13-Mar-17,327.35,326.7,327.45,326.03,-,0.30%
14-Mar-17,324.68,326.34,326.34,324.18,-,-0.82%
15-Mar-17,329.8,326.44,330.35,325.74,-,1.58%
16-Mar-17,327.72,330.36,330.95,327.02,-,-0.63%
17-Mar-17,329.38,328.67,330.12,328.61,-,0.51%
20-Mar-17,330.66,329.51,330.87,327.82,-,0.39%
21-Mar-17,325.14,331.11,331.52,324.74,-,-1.67%
22-Mar-17,326.01,325.23,326.33,322.81,-,0.27%
23-Mar-17,327.47,325.67,328.4,324.76,-,0.45%
24-Mar-17,324.4,327.24,328.17,323.34,-,-0.94%
27-Mar-17,325.49,321.95,325.95,320.82,-,0.34%
28-Mar-17,329.06,325.18,330.22,325.1,-,1.10%
29-Mar-17,329.02,328.58,329.83,327.85,-,-0.01%
30-Mar-17,328.97,329.08,330.64,328.83,-,-0.02%
31-Mar-17,328.73,328.9,330.56,328.53,-,-0.07%
3-Apr-17,327.44,329.39,330.36,324.95,-,-0.39%
4-Apr-17,328.75,327.67,328.81,326.47,-,0.40%
5-Apr-17,328.32,330.06,332.25,328.03,-,-0.13%
6-Apr-17,329.93,328.68,331.27,328.25,-,0.49%
7-Apr-17,329.74,329.56,330.82,328.77,-,-0.06%
10-Apr-17,329.74,329.7,330.7,328.63,-,0.00%
11-Apr-17,328.99,329.02,329.5,327.13,-,-0.23%
12-Apr-17,324.99,328.37,328.83,324.68,-,-1.22%
13-Apr-17,321.77,324.46,324.94,321.51,-,-0.99%
17-Apr-17,324.17,322.67,324.19,322,-,0.75%
18-Apr-17,323.78,323.24,324.69,322.33,-,-0.12%
19-Apr-17,324.06,324.62,325.81,323.55,-,0.09%
20-Apr-17,327.48,325.46,328.97,325.18,-,1.06%
21-Apr-17,327.37,327.4,328.13,326.45,-,-0.03%
24-Apr-17,331.24,329.56,331.91,329.56,-,1.18%
25-Apr-17,336.51,333.9,336.84,333.79,-,1.59%
26-Apr-17,336.27,335.65,337.47,335.13,-,-0.07%
27-Apr-17,335.56,335.79,336.56,333.33,-,-0.21%
28-Apr-17,333.17,335.67,335.77,332.88,-,-0.71%
1-May-17,332.77,333.81,334.07,332.02,-,-0.12%
