Date,Price,Open,High,Low,Vol.,Change %
3-Jan-17,190.98,191.29,191.36,189.59,-,0.39%
4-Jan-17,193.35,191.19,193.68,191.01,-,1.24%
5-Jan-17,194.35,192.13,194.47,190.85,-,0.52%
6-Jan-17,194.31,193.92,195.2,193.36,-,-0.02%
9-Jan-17,193.06,194.39,194.41,192.9,-,-0.64%
10-Jan-17,190.57,192.5,192.54,190.5,-,-1.29%
11-Jan-17,189.65,190.43,190.93,189.48,-,-0.48%
12-Jan-17,190.4,189.3,190.52,188.12,-,0.40%
13-Jan-17,189.94,190.15,190.75,189.58,-,-0.24%
17-Jan-17,191.53,190.14,191.55,190.14,-,0.84%
18-Jan-17,191.87,191.51,192.63,191.19,-,0.18%
19-Jan-17,189.97,191.31,191.38,189.64,-,-0.99%
20-Jan-17,191.27,190.07,191.36,189.64,-,0.68%
23-Jan-17,192.39,191.2,192.71,191.06,-,0.59%
24-Jan-17,192.39,192.6,193.07,191.64,-,0.00%
25-Jan-17,191.21,192.53,192.7,190.69,-,-0.61%
26-Jan-17,191.14,191.39,192.41,190.9,-,-0.04%
27-Jan-17,189.43,191.56,191.65,188.79,-,-0.89%
30-Jan-17,188.5,189.11,189.25,187.86,-,-0.49%
31-Jan-17,189.99,189.1,191.01,189.1,-,0.79%
1-Feb-17,187.82,190.2,190.89,187.78,-,-1.14%
2-Feb-17,190.16,187.99,190.34,187.99,-,1.25%
3-Feb-17,191.23,191.12,191.75,190.51,-,0.56%
6-Feb-17,190.1,190.97,191.32,189.82,-,-0.59%
7-Feb-17,189.7,190.25,190.77,189.47,-,-0.21%
8-Feb-17,191.38,189.85,191.68,189.84,-,0.89%
9-Feb-17,192.05,191.47,192.19,190.99,-,0.35%
10-Feb-17,193.13,191.79,193.3,191.58,-,0.56%
13-Feb-17,194.07,193.5,194.35,192.52,-,0.49%
14-Feb-17,193.05,193.51,193.51,191.36,-,-0.53%
15-Feb-17,192.48,192.1,192.9,190.86,-,-0.30%
16-Feb-17,193.31,192.67,194.69,192.55,-,0.43%
17-Feb-17,193.85,193.64,194.37,192.72,-,0.28%
21-Feb-17,196.43,193.86,196.67,193.5,-,1.33%
22-Feb-17,195.83,196.99,197.37,194.96,-,-0.31%
23-Feb-17,197.07,196.72,197.21,195.48,-,0.63%
24-Feb-17,198.01,196.76,198.05,196.05,-,0.48%
27-Feb-17,198.97,198.23,199.66,198.05,-,0.48%
28-Feb-17,198.4,198.56,199.24,197.95,-,-0.29%
1-Mar-17,197.75,198.04,198.89,196.92,-,-0.33%
2-Mar-17,197.21,197.39,197.84,196.62,-,-0.27%
3-Mar-17,196.43,196.83,196.83,194.69,-,-0.40%
6-Mar-17,195.64,195.82,196.03,194.76,-,-0.40%
7-Mar-17,195,195.45,195.55,193.97,-,-0.33%
8-Mar-17,192.1,194.4,194.4,192,-,-1.49%
9-Mar-17,189.64,192.05,192.73,189.27,-,-1.28%
10-Mar-17,189.31,190.82,191.92,188.3,-,-0.17%
13-Mar-17,189.38,189.42,190.2,188.75,-,0.04%
14-Mar-17,189.09,189.25,189.72,188.28,-,-0.15%
15-Mar-17,192.71,189.5,193.47,189.4,-,1.91%
16-Mar-17,192.15,192.72,193.42,191.76,-,-0.29%
17-Mar-17,192.5,192.62,193.45,192.08,-,0.18%
20-Mar-17,192.75,192.77,193.45,192.28,-,0.13%
21-Mar-17,192.45,193.21,193.99,192.35,-,-0.16%
22-Mar-17,192.8,192.84,193.03,191.08,-,0.18%
23-Mar-17,194.18,192.65,195.31,192.54,-,0.72%
24-Mar-17,193.89,194.47,195.15,193.56,-,-0.15%
27-Mar-17,192.68,193.25,194.27,192.07,-,-0.62%
28-Mar-17,193.6,192.66,193.81,191.5,-,0.48%
29-Mar-17,194.09,193.16,194.1,192.68,-,0.25%
30-Mar-17,194.46,193.86,194.63,192.46,-,0.19%
31-Mar-17,195.41,194.2,195.9,194.09,-,0.49%
3-Apr-17,195.62,195.4,195.87,194.8,-,0.11%
