Date,Price,Open,High,Low,Vol.,Change %
3-Jan-17,246.09,246.98,246.98,244.59,-,-0.30%
4-Jan-17,246.91,246.48,248.35,246.13,-,0.33%
5-Jan-17,247.15,247.19,247.71,244.71,-,0.10%
6-Jan-17,247.96,246.46,248.55,245.97,-,0.33%
9-Jan-17,244.72,248.3,248.73,244.68,-,-1.31%
10-Jan-17,244.05,244.67,244.75,242.99,-,-0.27%
11-Jan-17,246.42,243.98,246.71,243.94,-,0.97%
12-Jan-17,246.73,246.38,247.07,245.22,-,0.13%
13-Jan-17,246.32,246.29,247,244.8,-,-0.17%
17-Jan-17,249.17,247.1,249.79,246.98,-,1.16%
18-Jan-17,248.76,248.82,249.9,248.38,-,-0.16%
19-Jan-17,246.6,247.51,248.68,245.99,-,-0.87%
20-Jan-17,246.97,246.82,247.69,245.48,-,0.15%
23-Jan-17,245.77,247.41,247.87,245.55,-,-0.49%
24-Jan-17,245.77,245.72,246.75,245.27,-,0.00%
25-Jan-17,245.72,245.21,245.94,244.59,-,-0.02%
26-Jan-17,245.79,245.64,246.93,244.69,-,0.03%
27-Jan-17,245.75,246.49,246.91,245.24,-,-0.02%
30-Jan-17,245.85,245.92,246.62,244.44,-,0.04%
31-Jan-17,249.82,246.08,249.89,246.05,-,1.61%
1-Feb-17,245.5,248.02,248.3,244.65,-,-1.73%
2-Feb-17,247.85,245.69,247.9,244.63,-,0.96%
3-Feb-17,248.14,248,249.1,247.62,-,0.12%
6-Feb-17,247.76,248.8,249.18,247.38,-,-0.15%
7-Feb-17,248.25,247.89,248.54,247.31,-,0.20%
8-Feb-17,250.51,248.17,250.86,248.15,-,0.91%
9-Feb-17,248.41,250.07,250.81,247.74,-,-0.84%
10-Feb-17,249.94,247.86,250.14,247.63,-,0.62%
13-Feb-17,250.96,249.89,251.04,249.05,-,0.41%
14-Feb-17,249.13,250.28,250.47,247.73,-,-0.73%
15-Feb-17,248.17,247.32,248.18,246.12,-,-0.39%
16-Feb-17,250.52,248.51,250.52,248.15,-,0.95%
17-Feb-17,250.68,250.7,251.24,249.12,-,0.06%
21-Feb-17,253.39,250.2,253.77,249.45,-,1.08%
22-Feb-17,254.43,253.26,254.78,252.27,-,0.41%
23-Feb-17,257.1,255.15,257.86,254.84,-,1.05%
24-Feb-17,260.67,257.9,260.67,257.65,-,1.39%
27-Feb-17,259.17,260.48,260.48,258.87,-,-0.58%
28-Feb-17,261.6,258.8,262.21,258.64,-,0.94%
1-Mar-17,259.02,258.71,260.9,257.44,-,-0.99%
2-Mar-17,260.94,258.43,262.49,257.89,-,0.74%
3-Mar-17,260.03,260.91,260.91,257.95,-,-0.35%
6-Mar-17,259.55,259.94,260.1,258.63,-,-0.18%
7-Mar-17,259.56,259.33,260.31,259.17,-,0.00%
8-Mar-17,255.56,257.56,257.56,254.95,-,-1.54%
9-Mar-17,254.95,255.66,256.85,254.75,-,-0.24%
10-Mar-17,257,256.31,257.44,255.38,-,0.80%
13-Mar-17,257.6,256.84,257.79,256.44,-,0.23%
14-Mar-17,257.37,257.4,258.08,256.62,-,-0.09%
15-Mar-17,261.59,258.1,262.83,257.8,-,1.64%
16-Mar-17,258.75,260.88,260.88,258.08,-,-1.09%
17-Mar-17,260.24,258.93,261.63,258.93,-,0.58%
20-Mar-17,258.48,260.68,261.23,257.78,-,-0.68%
21-Mar-17,262.11,258.42,262.96,258.42,-,1.40%
22-Mar-17,263.11,263.07,264.88,262.24,-,0.38%
23-Mar-17,262.47,262.84,264.83,261.78,-,-0.24%
24-Mar-17,263.53,262.37,264.39,262.06,-,0.40%
27-Mar-17,262.32,264.25,265,261.46,-,-0.46%
28-Mar-17,262.47,261.82,262.67,261.12,-,0.06%
29-Mar-17,261.26,261.7,262.14,260.26,-,-0.46%
30-Mar-17,259.48,260.57,260.57,258.65,-,-0.68%
31-Mar-17,260.25,259.43,261.57,259.43,-,0.30%
3-Apr-17,260.25,259.91,260.29,257.97,-,0.00%
4-Apr-17,261.11,260.05,262.03,259.53,-,0.33%
5-Apr-17,262.48,260.94,262.75,260.28,-,0.52%
6-Apr-17,262.08,261.99,262.36,260.94,-,-0.15%
7-Apr-17,260.69,262.48,263.26,260.59,-,-0.53%
10-Apr-17,261.25,260.82,261.57,259.52,-,0.21%
11-Apr-17,261.19,260.98,261.62,259.43,-,-0.02%
12-Apr-17,263.11,260.55,263.21,260.04,-,0.74%
13-Apr-17,262.15,262.87,263.41,261.08,-,-0.36%
17-Apr-17,263.46,262.68,263.49,262.14,-,0.50%
18-Apr-17,263.89,263.44,264.44,263.03,-,0.16%
19-Apr-17,262.14,263.72,263.72,261.25,-,-0.66%
20-Apr-17,261.12,261.6,261.71,259.27,-,-0.39%
21-Apr-17,262.52,261.04,263.57,261.02,-,0.54%
24-Apr-17,263.79,262.83,264.09,261,-,0.48%
25-Apr-17,263.55,262.99,263.87,262.02,-,-0.09%
26-Apr-17,262.53,263.21,264.59,262.45,-,-0.39%
27-Apr-17,263.33,262.52,264.7,262.52,-,0.30%
28-Apr-17,262.16,263.16,263.39,261.4,-,-0.44%
1-May-17,260.45,262.49,262.51,259.96,-,-0.65%
2-May-17,261.11,261.17,261.91,259.89,-,0.25%
3-May-17,259.83,261.01,261.14,259.73,-,-0.49%
4-May-17,260.9,259.23,261.1,259.13,-,0.41%
5-May-17,262.36,261.58,263.22,261.58,-,0.56%
8-May-17,262.2,262.37,262.6,260.77,-,-0.06%
9-May-17,259.91,261.71,261.93,259.6,-,-0.87%
10-May-17,260.33,260.02,260.93,258.99,-,0.16%
11-May-17,260.35,259.48,260.36,258.32,-,0.01%
12-May-17,261.68,260.55,262.18,260.43,-,0.51%
15-May-17,262.63,261.65,263.11,261.32,-,0.36%
16-May-17,260.53,262.56,263.02,260.48,-,-0.80%
17-May-17,261.17,260.54,262.39,260,-,0.25%
18-May-17,262.18,261.75,263.47,259.89,-,0.39%
19-May-17,263.02,262.33,263.05,260.57,-,0.32%
22-May-17,265.39,262.59,265.76,262.59,-,0.90%
23-May-17,266.01,265.5,267.64,265.47,-,0.23%
24-May-17,267.81,266.2,268.07,266.2,-,0.68%
25-May-17,269.69,267.89,270.06,267.36,-,0.70%
26-May-17,269.54,269.63,270.08,269.07,-,-0.06%
30-May-17,270.43,269.41,271.07,269.06,-,0.33%
31-May-17,271.69,270.36,272.56,270.36,-,0.47%
1-Jun-17,273.64,271.56,273.65,270.64,-,0.72%
2-Jun-17,274.03,274.92,274.92,273.06,-,0.14%
5-Jun-17,272.72,273.83,273.94,272.62,-,-0.48%
6-Jun-17,272.24,273.3,273.46,272.02,-,-0.18%
7-Jun-17,273.08,272.41,273.69,271.79,-,0.31%
8-Jun-17,270.68,272.74,272.74,269.1,-,-0.88%
9-Jun-17,270.66,270.19,270.75,268.63,-,-0.01%
12-Jun-17,270.06,270.62,271.95,268.45,-,-0.22%
13-Jun-17,270.5,269.82,270.79,269.03,-,0.16%
14-Jun-17,272.1,272.31,273.5,271.22,-,0.59%
15-Jun-17,273.63,271.92,273.83,271.32,-,0.56%
16-Jun-17,274.95,273.79,275.34,273.79,-,0.48%
19-Jun-17,273.92,275,275.11,272.99,-,-0.37%
20-Jun-17,274.06,274.11,274.42,273.6,-,0.05%
21-Jun-17,272.3,274.07,274.36,271.05,-,-0.64%
22-Jun-17,271.12,272.06,272.99,271,-,-0.43%
23-Jun-17,270.14,271.03,272.21,269.68,-,-0.36%
26-Jun-17,272.24,270.32,273.58,269.9,-,0.78%
27-Jun-17,268.83,271.33,271.63,268.35,-,-1.25%
28-Jun-17,266.28,269.71,269.9,266.05,-,-0.95%
29-Jun-17,264.1,265.1,265.1,263.17,-,-0.82%
30-Jun-17,263.77,264.4,265.8,263.76,-,-0.12%
3-Jul-17,262.35,264.44,264.75,262.19,-,-0.54%
5-Jul-17,261.3,262.33,262.57,260.48,-,-0.40%
6-Jul-17,260.95,260.87,261.3,260.16,-,-0.13%
7-Jul-17,261.32,260.98,262.49,260.79,-,0.14%
10-Jul-17,260.9,261.72,262.56,260.86,-,-0.16%
11-Jul-17,260.82,261.27,261.42,259.6,-,-0.03%
12-Jul-17,263.03,263.11,263.87,262.69,-,0.85%
13-Jul-17,262.1,262.98,263.67,262.04,-,-0.35%
14-Jul-17,263.52,263.35,264.59,263.16,-,0.54%
17-Jul-17,264.55,263.66,264.62,263.08,-,0.39%
18-Jul-17,265.28,264.79,265.68,264.57,-,0.28%
19-Jul-17,266.53,265.8,266.62,265.16,-,0.47%
20-Jul-17,268.3,266.98,268.48,266.61,-,0.66%
21-Jul-17,270.35,268.17,270.37,267.59,-,0.76%
24-Jul-17,267.84,270.34,270.34,267.46,-,-0.93%
25-Jul-17,266.48,267.94,268,266.04,-,-0.51%
26-Jul-17,268.82,266.43,268.84,265.92,-,0.88%
27-Jul-17,269.41,268.37,269.43,267.76,-,0.22%
28-Jul-17,269.03,269.18,269.8,267.83,-,-0.14%
31-Jul-17,270.04,269.05,270.57,268.34,-,0.38%
1-Aug-17,271.39,270.21,271.94,270.21,-,0.50%
2-Aug-17,272.63,270.66,272.64,269.22,-,0.46%
3-Aug-17,273.78,272.15,273.81,271.68,-,0.42%
4-Aug-17,272.98,272.91,273.33,271.27,-,-0.29%
7-Aug-17,273.53,272.97,273.6,272.32,-,0.20%
8-Aug-17,274.43,272.97,274.46,272.71,-,0.33%
9-Aug-17,273.07,274.94,274.94,272.81,-,-0.50%
10-Aug-17,273.76,272.87,274.33,271.99,-,0.25%
11-Aug-17,272,273.29,273.58,271.15,-,-0.64%
14-Aug-17,273.58,272.24,273.7,271.97,-,0.58%
15-Aug-17,274.95,272.9,275.22,272.76,-,0.50%
16-Aug-17,275.83,274.76,276.03,274.56,-,0.32%
17-Aug-17,273.71,275.65,275.97,273.52,-,-0.77%
18-Aug-17,275.43,273.68,276.61,272.9,-,0.63%
21-Aug-17,276.33,275.78,276.76,275.05,-,0.33%
22-Aug-17,276.88,276.36,277.01,275.58,-,0.20%
23-Aug-17,277.59,276.6,277.74,275.75,-,0.26%
24-Aug-17,277.37,277.45,278.12,276.96,-,-0.08%
25-Aug-17,278.22,278.06,279.37,277.47,-,0.31%
28-Aug-17,278.85,278.66,279.26,277.56,-,0.23%
29-Aug-17,278.43,279.04,279.71,278.27,-,-0.15%
30-Aug-17,277.22,277.94,278.05,276.92,-,-0.43%
31-Aug-17,277.28,277.36,278.03,277.16,-,0.02%
1-Sep-17,276.45,277.68,278.11,275.67,-,-0.30%
5-Sep-17,277.26,276.73,277.35,275.63,-,0.29%
6-Sep-17,275.81,277.82,277.89,275.48,-,-0.52%
7-Sep-17,277.8,276.1,278.05,275.75,-,0.72%
8-Sep-17,279.03,277.65,279.31,276.88,-,0.44%
11-Sep-17,281.62,278.9,281.82,278.57,-,0.93%
12-Sep-17,276.69,281.22,281.32,275.23,-,-1.75%
13-Sep-17,275.22,276.6,276.66,275.17,-,-0.53%
14-Sep-17,277.62,274.96,277.73,274.36,-,0.87%
15-Sep-17,277.9,277.65,278.76,276.7,-,0.10%
18-Sep-17,275.17,277.85,277.86,273.26,-,-0.98%
19-Sep-17,274.58,275.35,275.6,274.09,-,-0.21%
