observation_date,DTWEXAFEGS
2017-01-03,115.3227
2017-01-04,114.5914
2017-01-05,113.4160
2017-01-06,113.8978
2017-01-09,113.8620
2017-01-10,113.8155
2017-01-11,114.2709
2017-01-12,112.8133
2017-01-13,113.1851
2017-01-16,#N/A
2017-01-17,112.1956
2017-01-18,112.6539
2017-01-19,113.5191
2017-01-20,#N/A
2017-01-23,112.4007
2017-01-24,112.0986
2017-01-25,111.8508
2017-01-26,112.4257
2017-01-27,112.4390
2017-01-30,112.3069
2017-01-31,111.3768
2017-02-01,111.7126
2017-02-02,111.2871
2017-02-03,111.3302
2017-02-06,111.9269
2017-02-07,112.1811
2017-02-08,111.9449
2017-02-09,112.3978
2017-02-10,112.2644
2017-02-13,112.5583
2017-02-14,112.8422
2017-02-15,112.6790
2017-02-16,112.1940
2017-02-17,112.5458
2017-02-20,#N/A
2017-02-21,112.9706
2017-02-22,113.0679
2017-02-23,112.5158
2017-02-24,112.5385
2017-02-27,112.3323
2017-02-28,112.7446
2017-03-01,113.5615
2017-03-02,114.0898
2017-03-03,114.0566
2017-03-06,113.7954
2017-03-07,113.8616
2017-03-08,114.3418
2017-03-09,114.2430
2017-03-10,113.8473
2017-03-13,113.6146
2017-03-14,113.8166
2017-03-15,113.7958
2017-03-16,112.5415
2017-03-17,112.6035
2017-03-20,112.5054
2017-03-21,111.9779
2017-03-22,111.9684
2017-03-23,111.9746
2017-03-24,112.0193
2017-03-27,111.4850
2017-03-28,111.6844
2017-03-29,112.3245
2017-03-30,112.1905
2017-03-31,112.3988
2017-04-03,112.7679
2017-04-04,112.8182
2017-04-05,112.8453
2017-04-06,112.8747
2017-04-07,113.0719
2017-04-10,113.0180
2017-04-11,112.7210
2017-04-12,112.6072
2017-04-13,112.3339
2017-04-14,112.3822
2017-04-17,112.0425
2017-04-18,111.9130
2017-04-19,112.2099
2017-04-20,111.9945
2017-04-21,112.3402
2017-04-24,111.8150
2017-04-25,111.7359
2017-04-26,112.0930
2017-04-27,112.2012
2017-04-28,112.0740
2017-05-01,112.0105
2017-05-02,112.2338
2017-05-03,112.1811
2017-05-04,112.1479
2017-05-05,111.8656
2017-05-08,112.2809
2017-05-09,112.7579
2017-05-10,112.5967
2017-05-11,112.7085
2017-05-12,112.4330
2017-05-15,112.0184
2017-05-16,111.4307
2017-05-17,110.8924
2017-05-18,110.7584
2017-05-19,110.4356
2017-05-22,110.1251
2017-05-23,110.3263
2017-05-24,110.4490
2017-05-25,110.1969
2017-05-26,110.5027
2017-05-29,#N/A
2017-05-30,110.3202
2017-05-31,110.1307
2017-06-01,110.3023
2017-06-02,109.9625
2017-06-05,109.9683
2017-06-06,109.6653
2017-06-07,109.9166
2017-06-08,110.0350
2017-06-09,110.2749
2017-06-12,110.2025
2017-06-13,109.7023
2017-06-14,109.0837
2017-06-15,110.0679
2017-06-16,109.7750
2017-06-19,109.9388
2017-06-20,110.3834
2017-06-21,110.4151
2017-06-22,110.1642
2017-06-23,109.9250
2017-06-26,109.8709
2017-06-27,109.3706
2017-06-28,108.6138
2017-06-29,108.2540
2017-06-30,108.2262
2017-07-03,108.6285
2017-07-04,#N/A
2017-07-05,108.7820
2017-07-06,108.3247
2017-07-07,108.4039
2017-07-10,108.4372
2017-07-11,108.4491
2017-07-12,107.9551
2017-07-13,107.9695
2017-07-14,107.2355
2017-07-17,107.2247
2017-07-18,106.6245
2017-07-19,106.6373
2017-07-20,106.2226
2017-07-21,106.0032
2017-07-24,105.9061
2017-07-25,105.8969
2017-07-26,106.0977
2017-07-27,106.0255
2017-07-28,105.3115
2017-07-31,105.0435
2017-08-01,105.2523
2017-08-02,105.0491
2017-08-03,105.0884
2017-08-04,105.9093
2017-08-07,105.9225
2017-08-08,106.1552
2017-08-09,106.0229
2017-08-10,105.9173
2017-08-11,105.6110
2017-08-14,105.8426
2017-08-15,106.3602
2017-08-16,106.4345
2017-08-17,105.9594
2017-08-18,105.7296
2017-08-21,105.3887
2017-08-22,105.6652
2017-08-23,105.5380
2017-08-24,105.4623
2017-08-25,104.9948
2017-08-28,104.5784
2017-08-29,104.3705
2017-08-30,105.1598
2017-08-31,105.0811
2017-09-01,104.7232
2017-09-04,#N/A
2017-09-05,104.3467
2017-09-06,103.7908
2017-09-07,103.2111
2017-09-08,102.9597
2017-09-11,103.4960
2017-09-12,103.5812
2017-09-13,104.0855
2017-09-14,104.0315
2017-09-15,103.5443
2017-09-18,103.9230
2017-09-19,103.8105
2017-09-20,103.6949
2017-09-21,104.1989
2017-09-22,104.0551
2017-09-25,104.5854
2017-09-26,105.0780
2017-09-27,105.3396
2017-09-28,105.3588
2017-09-29,105.3277
2017-10-02,105.7034
2017-10-03,105.6651
2017-10-04,105.6048
2017-10-05,106.1115
2017-10-06,106.0655
2017-10-09,#N/A
2017-10-10,105.4699
2017-10-11,105.3822
2017-10-12,105.3501
2017-10-13,105.2176
2017-10-16,105.3909
2017-10-17,105.8925
2017-10-18,105.6775
2017-10-19,105.3761
2017-10-20,106.1398
2017-10-23,106.2443
2017-10-24,106.3977
2017-10-25,106.4966
2017-10-26,107.0214
2017-10-27,107.6843
2017-10-30,107.2671
2017-10-31,107.3012
2017-11-01,107.4999
2017-11-02,107.2160
2017-11-03,107.4253
2017-11-06,107.2799
2017-11-07,107.4941
2017-11-08,107.2790
2017-11-09,106.9262
2017-11-10,#N/A
2017-11-13,107.0858
2017-11-14,106.6243
2017-11-15,106.5844
2017-11-16,106.4936
2017-11-17,106.3696
2017-11-20,106.6765
2017-11-21,106.5932
2017-11-22,106.1194
2017-11-23,#N/A
2017-11-24,105.4587
2017-11-27,105.5904
2017-11-28,105.9613
2017-11-29,106.0607
2017-11-30,106.0126
2017-12-01,105.4386
2017-12-04,105.8537
2017-12-05,105.9396
2017-12-06,106.3293
2017-12-07,106.4607
2017-12-08,106.8162
2017-12-11,106.5732
2017-12-12,107.0055
2017-12-13,106.7166
2017-12-14,106.4384
2017-12-15,106.5768
2017-12-18,106.3515
2017-12-19,106.5098
2017-12-20,106.1620
2017-12-21,105.9482
2017-12-22,106.1086
2017-12-25,#N/A
2017-12-26,105.8498
2017-12-27,105.5762
2017-12-28,105.1064
2017-12-29,104.5836
2018-01-01,#N/A
2018-01-02,104.3323
2018-01-03,104.5563
2018-01-04,104.4428
2018-01-05,104.2608
2018-01-08,104.5575
2018-01-09,104.8409
2018-01-10,104.6126
2018-01-11,104.3600
2018-01-12,103.8558
2018-01-15,#N/A
2018-01-16,103.0415
2018-01-17,103.0942
2018-01-18,102.9934
2018-01-19,103.0283
2018-01-22,103.0762
2018-01-23,102.7926
2018-01-24,101.7344
2018-01-25,101.1457
2018-01-26,101.3830
2018-01-29,101.8817
2018-01-30,101.6581
2018-01-31,101.4064
2018-02-01,101.1769
2018-02-02,101.8142
2018-02-05,102.1850
2018-02-06,102.3980
2018-02-07,102.9066
2018-02-08,103.0881
2018-02-09,103.1443
2018-02-12,103.0382
2018-02-13,102.4512
2018-02-14,102.1217
2018-02-15,101.5053
2018-02-16,101.6469
2018-02-19,#N/A
2018-02-20,102.4051
2018-02-21,102.7868
2018-02-22,102.7126
2018-02-23,102.6488
2018-02-26,102.8014
2018-02-27,103.2463
2018-02-28,103.4818
2018-03-01,103.6421
2018-03-02,#N/A
2018-03-05,103.3434
2018-03-06,102.8141
2018-03-07,103.1219
2018-03-08,103.3854
2018-03-09,103.1108
2018-03-12,103.1036
2018-03-13,102.9418
2018-03-14,103.0946
2018-03-15,103.4916
2018-03-16,103.8025
2018-03-19,103.4930
2018-03-20,103.7936
2018-03-21,#N/A
2018-03-22,103.0936
2018-03-23,102.6670
2018-03-26,102.3307
2018-03-27,102.5472
2018-03-28,103.0163
2018-03-29,103.3109
2018-03-30,103.1832
2018-04-02,103.3486
2018-04-03,103.2163
2018-04-04,103.1174
2018-04-05,103.4820
2018-04-06,103.1491
2018-04-09,102.7935
2018-04-10,102.5132
