Date,Price,Open,High,Low,Vol.,Change %
2-Jan-17,"2,243.25","2,241.38","2,244.88","2,241.38",-,0.31%
3-Jan-17,"2,252.50","2,240.75","2,259.50","2,239.50",1.81M,0.41%
4-Jan-17,"2,264.25","2,252.75","2,267.25","2,251.00",1.40M,0.52%
5-Jan-17,"2,264.25","2,264.50","2,266.00","2,254.00",1.32M,0.00%
6-Jan-17,"2,271.50","2,264.25","2,277.00","2,258.25",1.55M,0.32%
9-Jan-17,"2,265.00","2,271.25","2,275.25","2,263.50",1.03M,-0.29%
10-Jan-17,"2,263.75","2,264.50","2,274.00","2,259.50",1.30M,-0.06%
11-Jan-17,"2,270.50","2,263.75","2,271.75","2,255.00",1.73M,0.30%
12-Jan-17,"2,263.50","2,270.50","2,270.50","2,248.50",1.75M,-0.31%
13-Jan-17,"2,272.50","2,264.50","2,273.50","2,262.75",1.19M,0.40%
15-Jan-17,"2,268.50","2,270.25","2,270.25","2,268.00",-,-0.18%
16-Jan-17,"2,266.25","2,268.50","2,269.50","2,265.00",-,-0.10%
17-Jan-17,"2,262.75","2,270.25","2,270.50","2,257.25",1.54M,-0.15%
18-Jan-17,"2,266.50","2,262.00","2,268.50","2,258.25",1.11M,0.17%
19-Jan-17,"2,261.50","2,265.50","2,269.50","2,253.00",1.39M,-0.22%
20-Jan-17,"2,266.00","2,261.00","2,272.75","2,259.75",1.74M,0.20%
23-Jan-17,"2,262.00","2,266.00","2,267.50","2,251.75",1.47M,-0.18%
24-Jan-17,"2,274.50","2,260.75","2,280.50","2,259.50",1.27M,0.55%
25-Jan-17,"2,294.00","2,275.75","2,295.25","2,274.75",1.39M,0.86%
26-Jan-17,"2,294.00","2,293.75","2,299.50","2,289.50",1.17M,0.00%
27-Jan-17,"2,289.00","2,294.00","2,296.75","2,287.00",942.08K,-0.22%
30-Jan-17,"2,276.00","2,282.00","2,285.75","2,263.25",1.85M,-0.57%
31-Jan-17,"2,274.50","2,275.75","2,278.25","2,262.25",1.63M,-0.07%
1-Feb-17,"2,274.50","2,277.00","2,285.00","2,268.25",1.57M,0.00%
2-Feb-17,"2,275.50","2,275.00","2,279.75","2,264.50",1.41M,0.04%
3-Feb-17,"2,291.00","2,274.00","2,294.00","2,270.50",1.42M,0.68%
6-Feb-17,"2,286.50","2,293.00","2,294.25","2,283.50",1.16M,-0.20%
7-Feb-17,"2,288.50","2,286.25","2,295.00","2,284.00",1.20M,0.09%
8-Feb-17,"2,290.25","2,285.75","2,292.00","2,281.00",1.28M,0.08%
9-Feb-17,"2,304.25","2,290.50","2,307.75","2,287.75",1.35M,0.61%
10-Feb-17,"2,312.75","2,304.25","2,315.75","2,303.00",1.18M,0.37%
13-Feb-17,"2,326.25","2,314.25","2,329.00","2,313.25",1.21M,0.58%
14-Feb-17,"2,337.00","2,326.50","2,337.75","2,319.75",1.39M,0.46%
15-Feb-17,"2,350.50","2,335.50","2,351.50","2,331.25",1.53M,0.58%
16-Feb-17,"2,345.50","2,350.25","2,350.75","2,336.75",1.74M,-0.21%
17-Feb-17,"2,348.00","2,345.00","2,348.75","2,336.50",1.40M,0.11%
19-Feb-17,"2,347.50","2,346.75","2,348.00","2,346.25",-,-0.02%
20-Feb-17,"2,353.25","2,347.25","2,356.75","2,346.00",-,0.24%
21-Feb-17,"2,360.00","2,346.50","2,365.00","2,346.00",1.65M,0.29%
22-Feb-17,"2,361.00","2,360.00","2,363.75","2,355.25",1.30M,0.04%
23-Feb-17,"2,362.75","2,362.00","2,367.50","2,353.00",1.56M,0.07%
24-Feb-17,"2,365.00","2,361.50","2,365.75","2,349.50",1.55M,0.10%
27-Feb-17,"2,368.25","2,362.75","2,370.75","2,361.00",1.16M,0.14%
28-Feb-17,"2,362.75","2,365.75","2,368.75","2,357.50",1.61M,-0.23%
1-Mar-17,"2,393.50","2,364.50","2,401.00","2,363.25",2.17M,1.30%
2-Mar-17,"2,382.00","2,392.25","2,394.25","2,378.00",1.74M,-0.48%
3-Mar-17,"2,381.25","2,379.75","2,383.25","2,373.75",1.36M,-0.03%
6-Mar-17,"2,375.50","2,380.25","2,380.75","2,367.00",1.38M,-0.24%
7-Mar-17,"2,366.50","2,371.25","2,375.50","2,364.50",1.30M,-0.38%
8-Mar-17,"2,364.00","2,365.75","2,373.00","2,359.50",1.65M,-0.11%
9-Mar-17,"2,366.25","2,363.75","2,369.25","2,354.00",1.79M,0.10%
10-Mar-17,"2,371.75","2,367.50","2,379.75","2,362.25",1.36M,0.23%
13-Mar-17,"2,375.00","2,370.75","2,375.25","2,368.00",1.04M,0.14%
14-Mar-17,"2,366.50","2,374.00","2,374.75","2,358.00",952.37K,-0.36%
15-Mar-17,"2,383.75","2,367.00","2,390.50","2,366.50",621.38K,0.73%
16-Mar-17,"2,382.75","2,382.50","2,392.00","2,376.75",377.98K,-0.04%
17-Mar-17,"2,385.80","2,382.25","2,385.75","2,379.00",42.54K,0.13%
