Symbol,Sector
AAPL,Information Technology
ABBV,Health Care
ABT,Health Care
ACN,Information Technology
ADBE,Information Technology
AIG,Financials
AMGN,Health Care
AMT,Real Estate
AMZN,Consumer Discretionary
AVGO,Information Technology
AXP,Financials
BA,Industrials
BAC,Financials
BIIB,Health Care
BK,Financials
BKNG,Consumer Discretionary
BLK,Financials
BMY,Health Care
C,Financials
CAT,Industrials
CHTR,Communication Services
CL,Consumer Staples
CMCSA,Communication Services
COF,Financials
COP,Energy
COST,Consumer Staples
CRM,Information Technology
CSCO,Information Technology
CVS,Health Care
CVX,Energy
DD,Materials
DHR,Health Care
DIS,Communication Services
DUK,Utilities
EMR,Industrials
EXC,Utilities
F,Consumer Discretionary
FB,Communication Services
FDX,Industrials
GD,Industrials
GE,Industrials
GILD,Health Care
GM,Consumer Discretionary
GOOG,Communication Services
GOOGL,Communication Services
GS,Financials
HD,Consumer Discretionary
HON,Industrials
IBM,Information Technology
INTC,Information Technology
JNJ,Health Care
JPM,Financials
KHC,Consumer Staples
KO,Consumer Staples
LIN,Industrials
LLY,Health Care
LMT,Industrials
LOW,Consumer Discretionary
MA,Financials
MCD,Consumer Discretionary
MDLZ,Consumer Staples
MDT,Health Care
MET,Financials
MMM,Industrials
MO,Consumer Staples
MRK,Health Care
MS,Financials
MSFT,Information Technology
NEE,Utilities
NFLX,Communication Services
NKE,Consumer Discretionary
NVDA,Information Technology
ORCL,Information Technology
PEP,Consumer Staples
PFE,Health Care
PG,Consumer Staples
PM,Consumer Staples
PYPL,Financials
QCOM,Information Technology
RTX,Industrials
SBUX,Consumer Discretionary
SO,Utilities
SPG,Real Estate
T,Communication Services
TGT,Consumer Staples
TMO,Health Care
TMUS,Communication Services
TSLA,Consumer Discretionary
TXN,Information Technology
UNH,Health Care
UNP,Industrials
UPS,Industrials
USB,Financials
V,Financials
VZ,Communication Services
WBA,Consumer Staples
WFC,Financials
WMT,Consumer Staples
XOM,Energy
